partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",65,59,59,49,49
"JUSTICIALISTA (2)",68,68,214,78,75
"UNIÓN CÍVICA RADICAL (3)",441,423,419,333,336
"MOVIMIENTO SIEMPRE CORRIENTES (4)",33,28,28,27,27
"DEMÓCRATA CRISTIANO (5)",21,22,22,24,23
"DE LA CONCERTACIÓN - FORJA (7)",26,23,22,22,21
"FEDERAL (8)",23,24,-,34,33
"DEMÓCRATA PROGRESISTA (9)",32,29,28,29,28
"RENOVADOR FEDERAL (10)",33,31,33,36,36
"LADRILLEROS UNIDOS (11)",28,24,22,22,22
"COMUNISTA (12)",9,9,-,10,23
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,12,15,10,10
"ACCIÓN POR CORRIENTES (14)",17,17,15,16,15
"UNIDOS POR CORRIENTES (15)",33,32,32,31,31
"LABORISTA AUTÓNOMO (17)",36,33,32,31,32
"ELI - ENCUENTRO LIBERAL (18)",43,41,40,37,38
"CAMBIO POPULAR (19)",9,8,8,10,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-,9,9
"CONVOCATORIA POPULAR (21)",14,14,-,16,-
"FE (23)",9,9,8,11,-
"NUESTRA CAUSA (24)",4,2,3,5,5
"UNION POPULAR (25)",37,35,35,33,33
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,14,16,14
"ENCUENTRO CORRELIGIONARIO (27)",32,30,30,30,31
"CAMBIO AUSTERIDAD Y PROGRESO (28)",27,26,25,22,22
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,8,8
"CIUDADANOS A GOBERNAR (30)",36,34,33,32,32
"CONSERVADOR POPULAR (31)",16,13,15,15,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",24,22,23,22,23
"NUEVO PAIS (33)",18,14,-,23,15
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",17,16,16,17,15
"TERCERA POSICIÓN (35)",6,6,6,8,-
"UNIÓN CORRENTINA (37)",13,11,12,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,13,13,12,12
"UNIÓN PARA EL DESARROLLO (42)",11,10,9,9,9
"NORTE GRANDE (43)",12,12,12,7,8
"ACCIÓN POR LA REPÚBLICA (44)",27,22,22,22,22
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",11,12,-,20,19
"VAMOS CORRIENTES (46)",34,34,33,33,29
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",88,82,79,72,74
"PARTIDO AGRARIO Y SOCIAL (49)",14,14,-,20,19
"SOCIALISTA (50)",16,15,15,14,13
"LIBERAL (51)",78,72,76,70,70
"AUTONOMISTA (52)",43,37,37,36,36
"DE LA VICTORIA (54)",5,4,5,9,5
"PROYECTO CORRIENTES (57)",31,29,-,57,47
"PRO - PROPUESTA REPUBLICANA (64)",48,47,48,45,50
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",13,13,13,14,14
"NUEVO (90)",53,49,53,52,53
"POPULAR CORRENTINO (169)",81,78,77,72,73
"CRECER CON TODOS (170)",24,23,22,20,21
"UNIÓN CELESTE Y BLANCO (173)",13,10,-,17,14
"COMPROMISO CORRENTINO (175)",14,14,-,15,15
"KOLINA (192)",12,12,12,18,18
"INTEGRACIÓN CORRENTINA (36)",-,-,-,84,83
"NUEVA CORRIENTES (41)",-,-,-,7,7
"Votos en Blanco",45,162,162,111,155
"Votos Nulos",59,49,49,46,47
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
