partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",17,16,15,12,13
"JUSTICIALISTA (2)",29,29,114,35,32
"UNIÓN CÍVICA RADICAL (3)",212,206,194,176,176
"MOVIMIENTO SIEMPRE CORRIENTES (4)",10,7,7,6,6
"DEMÓCRATA CRISTIANO (5)",6,6,6,8,10
"DE LA CONCERTACIÓN - FORJA (7)",13,5,5,5,5
"FEDERAL (8)",17,10,-,17,15
"DEMÓCRATA PROGRESISTA (9)",28,27,26,23,23
"RENOVADOR FEDERAL (10)",18,16,17,23,23
"LADRILLEROS UNIDOS (11)",27,26,26,25,27
"COMUNISTA (12)",8,8,-,12,23
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,12,12,13,13
"ACCIÓN POR CORRIENTES (14)",7,5,4,4,4
"UNIDOS POR CORRIENTES (15)",3,3,3,3,3
"LABORISTA AUTÓNOMO (17)",12,11,11,10,10
"ELI - ENCUENTRO LIBERAL (18)",41,41,41,40,40
"CAMBIO POPULAR (19)",15,15,15,18,17
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,4,3
"CONVOCATORIA POPULAR (21)",11,11,-,12,-
"FE (23)",10,10,10,11,-
"NUESTRA CAUSA (24)",4,4,4,4,4
"UNION POPULAR (25)",12,11,10,10,11
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5,5,5
"ENCUENTRO CORRELIGIONARIO (27)",8,6,6,6,6
"CAMBIO AUSTERIDAD Y PROGRESO (28)",3,3,3,3,4
"DEL TRABAJO Y DEL PUEBLO (29)",7,6,6,9,9
"CIUDADANOS A GOBERNAR (30)",11,9,9,9,9
"CONSERVADOR POPULAR (31)",10,10,9,9,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",24,28,25,23,22
"NUEVO PAIS (33)",5,5,-,11,10
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8,8,8
"TERCERA POSICIÓN (35)",2,2,2,2,-
"UNIÓN CORRENTINA (37)",7,6,5,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",12,12,12,11,11
"UNIÓN PARA EL DESARROLLO (42)",5,5,5,5,5
"NORTE GRANDE (43)",8,8,8,7,7
"ACCIÓN POR LA REPÚBLICA (44)",4,4,4,4,4
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-,12,12
"VAMOS CORRIENTES (46)",26,25,25,21,24
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",45,40,40,35,37
"PARTIDO AGRARIO Y SOCIAL (49)",20,21,-,27,26
"SOCIALISTA (50)",10,9,9,8,8
"LIBERAL (51)",21,20,20,17,18
"AUTONOMISTA (52)",42,40,40,39,39
"DE LA VICTORIA (54)",13,13,13,13,14
"PROYECTO CORRIENTES (57)",11,11,-,23,20
"PRO - PROPUESTA REPUBLICANA (64)",23,22,18,18,20
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,6,6,7,6
"NUEVO (90)",26,27,28,19,19
"POPULAR CORRENTINO (169)",47,42,42,41,41
"CRECER CON TODOS (170)",16,15,15,14,15
"UNIÓN CELESTE Y BLANCO (173)",3,4,-,6,5
"COMPROMISO CORRENTINO (175)",2,1,-,6,2
"KOLINA (192)",3,2,3,3,3
"INTEGRACIÓN CORRENTINA (36)",-,-,-,1,3
"NUEVA CORRIENTES (41)",-,-,-,4,4
"Votos en Blanco",14,63,79,66,82
"Votos Nulos",28,22,24,22,21
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
