partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",23,23,21,20,19
"JUSTICIALISTA (2)",45,45,127,53,49
"UNIÓN CÍVICA RADICAL (3)",187,173,166,157,161
"MOVIMIENTO SIEMPRE CORRIENTES (4)",11,11,11,11,11
"DEMÓCRATA CRISTIANO (5)",15,14,14,15,15
"DE LA CONCERTACIÓN - FORJA (7)",19,19,18,16,16
"FEDERAL (8)",9,9,-,13,13
"DEMÓCRATA PROGRESISTA (9)",7,7,7,7,7
"RENOVADOR FEDERAL (10)",25,24,24,32,29
"LADRILLEROS UNIDOS (11)",36,35,34,33,33
"COMUNISTA (12)",5,5,-,7,14
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,7,7,6,6
"ACCIÓN POR CORRIENTES (14)",5,5,5,3,3
"UNIDOS POR CORRIENTES (15)",21,21,21,20,21
"LABORISTA AUTÓNOMO (17)",8,8,8,8,8
"ELI - ENCUENTRO LIBERAL (18)",30,29,30,30,28
"CAMBIO POPULAR (19)",9,9,9,12,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-,7,7
"CONVOCATORIA POPULAR (21)",9,9,-,10,-
"FE (23)",13,12,12,15,-
"NUESTRA CAUSA (24)",0,0,0,3,2
"UNION POPULAR (25)",20,20,19,19,21
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9,17,13
"ENCUENTRO CORRELIGIONARIO (27)",24,24,23,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,8,8,7,7
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4,5,5
"CIUDADANOS A GOBERNAR (30)",12,11,10,9,9
"CONSERVADOR POPULAR (31)",8,7,7,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",31,27,27,28,28
"NUEVO PAIS (33)",19,18,-,22,19
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8,7,7
"TERCERA POSICIÓN (35)",2,2,2,3,-
"UNIÓN CORRENTINA (37)",17,16,14,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,9,9,7,7
"UNIÓN PARA EL DESARROLLO (42)",9,6,6,5,5
"NORTE GRANDE (43)",10,10,10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",13,12,12,12,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-,7,6
"VAMOS CORRIENTES (46)",22,22,21,22,22
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",40,38,38,32,35
"PARTIDO AGRARIO Y SOCIAL (49)",8,8,-,14,13
"SOCIALISTA (50)",5,4,4,4,4
"LIBERAL (51)",14,12,12,11,11
"AUTONOMISTA (52)",30,27,27,25,27
"DE LA VICTORIA (54)",6,6,8,8,8
"PROYECTO CORRIENTES (57)",8,9,-,16,15
"PRO - PROPUESTA REPUBLICANA (64)",18,16,16,14,14
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,5,5
"NUEVO (90)",32,30,30,26,28
"POPULAR CORRENTINO (169)",72,70,66,61,61
"CRECER CON TODOS (170)",16,15,15,12,12
"UNIÓN CELESTE Y BLANCO (173)",9,8,-,14,13
"COMPROMISO CORRENTINO (175)",6,6,-,8,8
"KOLINA (192)",6,6,6,7,6
"INTEGRACIÓN CORRENTINA (36)",-,-,-,5,5
"NUEVA CORRIENTES (41)",-,-,-,1,1
"Votos en Blanco",21,70,87,58,86
"Votos Nulos",22,21,24,21,23
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
