partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",59,53,53,52,52
"JUSTICIALISTA (2)",97,98,383,119,105
"UNIÓN CÍVICA RADICAL (3)",607,581,577,443,437
"MOVIMIENTO SIEMPRE CORRIENTES (4)",50,45,44,40,40
"DEMÓCRATA CRISTIANO (5)",50,52,54,59,59
"DE LA CONCERTACIÓN - FORJA (7)",38,36,36,34,35
"FEDERAL (8)",30,29,-,38,39
"DEMÓCRATA PROGRESISTA (9)",31,29,31,30,34
"RENOVADOR FEDERAL (10)",27,27,30,33,30
"LADRILLEROS UNIDOS (11)",60,58,57,55,55
"COMUNISTA (12)",20,20,-,22,34
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,19,19,17,17
"ACCIÓN POR CORRIENTES (14)",29,28,27,25,25
"UNIDOS POR CORRIENTES (15)",73,66,64,58,56
"LABORISTA AUTÓNOMO (17)",40,47,47,47,46
"ELI - ENCUENTRO LIBERAL (18)",141,137,133,126,128
"CAMBIO POPULAR (19)",23,23,23,27,27
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-,15,14
"CONVOCATORIA POPULAR (21)",16,16,-,21,-
"FE (23)",7,7,9,10,-
"NUESTRA CAUSA (24)",20,19,19,20,21
"UNION POPULAR (25)",63,61,58,52,52
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",14,13,14,21,20
"ENCUENTRO CORRELIGIONARIO (27)",70,68,65,55,55
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,9,8,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",38,38,38,47,43
"CIUDADANOS A GOBERNAR (30)",58,56,55,54,55
"CONSERVADOR POPULAR (31)",38,37,35,34,34
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",47,42,41,41,40
"NUEVO PAIS (33)",44,47,-,69,61
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",30,29,26,25,25
"TERCERA POSICIÓN (35)",13,14,11,13,-
"UNIÓN CORRENTINA (37)",38,36,37,35,35
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",30,30,30,27,27
"UNIÓN PARA EL DESARROLLO (42)",16,14,14,14,13
"NORTE GRANDE (43)",14,14,14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",50,50,49,47,46
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",15,15,-,18,16
"VAMOS CORRIENTES (46)",73,69,69,66,66
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",194,181,167,175,173
"PARTIDO AGRARIO Y SOCIAL (49)",30,30,-,37,35
"SOCIALISTA (50)",32,32,31,28,28
"LIBERAL (51)",68,67,64,56,59
"AUTONOMISTA (52)",58,45,46,41,40
"DE LA VICTORIA (54)",27,27,27,30,30
"PROYECTO CORRIENTES (57)",67,70,-,102,95
"PRO - PROPUESTA REPUBLICANA (64)",41,36,36,36,38
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,11,11,15,15
"NUEVO (90)",73,73,72,63,67
"POPULAR CORRENTINO (169)",155,149,146,144,144
"CRECER CON TODOS (170)",53,52,50,43,43
"UNIÓN CELESTE Y BLANCO (173)",31,31,-,47,43
"COMPROMISO CORRENTINO (175)",34,35,-,40,38
"KOLINA (192)",19,20,20,28,27
"INTEGRACIÓN CORRENTINA (36)",-,-,-,98,94
"NUEVA CORRIENTES (41)",-,-,-,9,10
"Votos en Blanco",95,206,264,189,268
"Votos Nulos",65,52,55,49,50
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
