partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",73,64,62,71,71
"JUSTICIALISTA (2)",106,116,388,125,121
"UNIÓN CÍVICA RADICAL (3)",768,705,714,494,507
"MOVIMIENTO SIEMPRE CORRIENTES (4)",57,54,54,47,46
"DEMÓCRATA CRISTIANO (5)",19,17,17,33,26
"DE LA CONCERTACIÓN - FORJA (7)",59,53,55,53,52
"FEDERAL (8)",31,28,-,47,42
"DEMÓCRATA PROGRESISTA (9)",36,32,32,32,34
"RENOVADOR FEDERAL (10)",63,64,65,83,74
"LADRILLEROS UNIDOS (11)",48,45,46,44,43
"COMUNISTA (12)",22,21,-,27,33
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",26,27,28,18,17
"ACCIÓN POR CORRIENTES (14)",32,32,31,24,27
"UNIDOS POR CORRIENTES (15)",53,51,52,48,49
"LABORISTA AUTÓNOMO (17)",37,35,33,32,32
"ELI - ENCUENTRO LIBERAL (18)",133,132,127,117,118
"CAMBIO POPULAR (19)",12,11,11,18,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",19,18,-,23,24
"CONVOCATORIA POPULAR (21)",4,4,-,7,-
"FE (23)",12,13,13,18,-
"NUESTRA CAUSA (24)",11,11,11,14,14
"UNION POPULAR (25)",66,63,64,62,65
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,14,14,18,16
"ENCUENTRO CORRELIGIONARIO (27)",46,46,46,40,40
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,13,13,10,10
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10,14,13
"CIUDADANOS A GOBERNAR (30)",53,47,46,36,38
"CONSERVADOR POPULAR (31)",28,26,27,26,25
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,32,32,30,32
"NUEVO PAIS (33)",30,31,-,52,51
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,14,14,12,11
"TERCERA POSICIÓN (35)",4,4,3,4,-
"UNIÓN CORRENTINA (37)",20,16,16,15,16
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",23,23,22,21,20
"UNIÓN PARA EL DESARROLLO (42)",21,20,19,18,18
"NORTE GRANDE (43)",21,20,19,16,17
"ACCIÓN POR LA REPÚBLICA (44)",10,10,10,11,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",23,23,-,33,30
"VAMOS CORRIENTES (46)",54,49,46,44,43
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",125,119,117,114,115
"PARTIDO AGRARIO Y SOCIAL (49)",35,32,-,44,42
"SOCIALISTA (50)",19,17,17,16,16
"LIBERAL (51)",75,70,72,63,64
"AUTONOMISTA (52)",79,76,76,67,68
"DE LA VICTORIA (54)",25,25,25,34,31
"PROYECTO CORRIENTES (57)",70,75,-,112,99
"PRO - PROPUESTA REPUBLICANA (64)",68,64,64,60,60
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3,4,5
"NUEVO (90)",51,51,53,43,49
"POPULAR CORRENTINO (169)",133,126,126,114,117
"CRECER CON TODOS (170)",49,41,39,39,39
"UNIÓN CELESTE Y BLANCO (173)",13,13,-,18,17
"COMPROMISO CORRENTINO (175)",22,24,-,32,33
"KOLINA (192)",13,13,14,15,12
"INTEGRACIÓN CORRENTINA (36)",-,-,-,193,188
"NUEVA CORRIENTES (41)",-,-,-,19,15
"Votos en Blanco",61,193,184,119,157
"Votos Nulos",102,102,104,98,106
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
