partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",69,65,69,61,63
"JUSTICIALISTA (2)",157,153,438,182,168
"UNIÓN CÍVICA RADICAL (3)",725,678,676,512,513
"MOVIMIENTO SIEMPRE CORRIENTES (4)",56,54,51,47,46
"DEMÓCRATA CRISTIANO (5)",43,42,43,49,47
"DE LA CONCERTACIÓN - FORJA (7)",43,43,42,40,40
"FEDERAL (8)",40,42,-,59,55
"DEMÓCRATA PROGRESISTA (9)",44,41,41,39,42
"RENOVADOR FEDERAL (10)",25,27,30,35,35
"LADRILLEROS UNIDOS (11)",64,62,61,60,59
"COMUNISTA (12)",19,20,-,23,45
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",36,35,35,27,25
"ACCIÓN POR CORRIENTES (14)",86,81,79,74,75
"UNIDOS POR CORRIENTES (15)",64,64,63,62,61
"LABORISTA AUTÓNOMO (17)",52,51,50,45,45
"ELI - ENCUENTRO LIBERAL (18)",108,104,103,99,104
"CAMBIO POPULAR (19)",22,25,24,33,30
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",12,11,-,14,14
"CONVOCATORIA POPULAR (21)",25,25,-,28,-
"FE (23)",11,10,12,13,-
"NUESTRA CAUSA (24)",14,16,17,16,17
"UNION POPULAR (25)",104,101,100,97,98
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",42,43,44,57,57
"ENCUENTRO CORRELIGIONARIO (27)",49,46,45,41,42
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,17,17,15,15
"DEL TRABAJO Y DEL PUEBLO (29)",26,26,26,34,31
"CIUDADANOS A GOBERNAR (30)",56,60,46,43,45
"CONSERVADOR POPULAR (31)",43,42,41,34,36
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",60,56,54,47,48
"NUEVO PAIS (33)",43,47,-,58,52
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",42,41,39,39,39
"TERCERA POSICIÓN (35)",6,5,9,11,-
"UNIÓN CORRENTINA (37)",17,19,18,15,11
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",35,33,33,34,32
"UNIÓN PARA EL DESARROLLO (42)",30,29,29,29,29
"NORTE GRANDE (43)",14,13,12,9,10
"ACCIÓN POR LA REPÚBLICA (44)",66,62,62,64,62
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",32,33,-,41,40
"VAMOS CORRIENTES (46)",19,17,16,14,13
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",207,199,196,192,194
"PARTIDO AGRARIO Y SOCIAL (49)",45,49,-,65,60
"SOCIALISTA (50)",42,39,36,35,35
"LIBERAL (51)",99,98,99,89,89
"AUTONOMISTA (52)",69,68,68,56,57
"DE LA VICTORIA (54)",17,15,16,23,19
"PROYECTO CORRIENTES (57)",37,39,-,73,59
"PRO - PROPUESTA REPUBLICANA (64)",33,33,33,31,30
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6,6,6
"NUEVO (90)",86,84,86,78,86
"POPULAR CORRENTINO (169)",146,137,138,127,127
"CRECER CON TODOS (170)",17,13,12,10,10
"UNIÓN CELESTE Y BLANCO (173)",27,27,-,32,35
"COMPROMISO CORRENTINO (175)",14,15,-,16,17
"KOLINA (192)",9,9,11,14,13
"INTEGRACIÓN CORRENTINA (36)",-,-,-,137,140
"NUEVA CORRIENTES (41)",-,-,-,17,17
"Votos en Blanco",138,246,299,223,280
"Votos Nulos",73,54,54,44,44
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
