partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",41,39,38,34,33
"JUSTICIALISTA (2)",70,68,280,80,73
"UNIÓN CÍVICA RADICAL (3)",473,447,433,383,379
"MOVIMIENTO SIEMPRE CORRIENTES (4)",24,22,22,22,23
"DEMÓCRATA CRISTIANO (5)",22,22,23,25,23
"DE LA CONCERTACIÓN - FORJA (7)",26,22,21,21,21
"FEDERAL (8)",34,36,-,42,42
"DEMÓCRATA PROGRESISTA (9)",45,45,45,44,44
"RENOVADOR FEDERAL (10)",47,48,47,52,49
"LADRILLEROS UNIDOS (11)",51,48,48,45,45
"COMUNISTA (12)",17,17,-,19,32
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",18,18,18,12,12
"ACCIÓN POR CORRIENTES (14)",29,28,27,26,25
"UNIDOS POR CORRIENTES (15)",30,29,29,28,27
"LABORISTA AUTÓNOMO (17)",29,27,26,24,23
"ELI - ENCUENTRO LIBERAL (18)",59,59,58,58,58
"CAMBIO POPULAR (19)",9,10,7,15,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,11,-,12,12
"CONVOCATORIA POPULAR (21)",16,15,-,23,-
"FE (23)",10,10,10,14,-
"NUESTRA CAUSA (24)",5,5,5,5,5
"UNION POPULAR (25)",90,85,85,83,84
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",28,27,26,39,36
"ENCUENTRO CORRELIGIONARIO (27)",26,22,22,21,20
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",23,23,25,30,28
"CIUDADANOS A GOBERNAR (30)",36,32,30,23,27
"CONSERVADOR POPULAR (31)",14,13,13,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",27,25,24,23,22
"NUEVO PAIS (33)",40,40,-,48,47
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,11,11,12,9
"TERCERA POSICIÓN (35)",14,14,14,17,-
"UNIÓN CORRENTINA (37)",14,13,13,13,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,18,17,13,13
"UNIÓN PARA EL DESARROLLO (42)",12,12,12,12,13
"NORTE GRANDE (43)",25,25,24,21,21
"ACCIÓN POR LA REPÚBLICA (44)",25,25,25,24,24
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",14,15,-,20,19
"VAMOS CORRIENTES (46)",52,47,47,46,45
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",76,70,67,70,68
"PARTIDO AGRARIO Y SOCIAL (49)",39,39,-,56,51
"SOCIALISTA (50)",15,15,15,15,15
"LIBERAL (51)",42,42,43,41,39
"AUTONOMISTA (52)",32,32,31,30,31
"DE LA VICTORIA (54)",23,23,23,22,22
"PROYECTO CORRIENTES (57)",57,55,-,79,67
"PRO - PROPUESTA REPUBLICANA (64)",76,78,74,66,67
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,11,9,12,11
"NUEVO (90)",77,75,75,70,73
"POPULAR CORRENTINO (169)",118,116,113,106,107
"CRECER CON TODOS (170)",70,64,61,54,53
"UNIÓN CELESTE Y BLANCO (173)",26,27,-,43,40
"COMPROMISO CORRENTINO (175)",19,19,-,24,23
"KOLINA (192)",10,10,10,14,14
"INTEGRACIÓN CORRENTINA (36)",-,-,-,32,33
"NUEVA CORRIENTES (41)",-,-,-,7,7
"Votos en Blanco",110,216,319,186,275
"Votos Nulos",49,24,24,21,21
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
