partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",65,61,60,58,55
"JUSTICIALISTA (2)",58,62,358,66,63
"UNIÓN CÍVICA RADICAL (3)",604,585,578,504,507
"MOVIMIENTO SIEMPRE CORRIENTES (4)",45,44,44,44,43
"DEMÓCRATA CRISTIANO (5)",53,52,53,62,65
"DE LA CONCERTACIÓN - FORJA (7)",66,64,62,55,57
"FEDERAL (8)",39,38,-,45,42
"DEMÓCRATA PROGRESISTA (9)",60,59,58,55,55
"RENOVADOR FEDERAL (10)",46,48,48,53,51
"LADRILLEROS UNIDOS (11)",81,79,78,73,74
"COMUNISTA (12)",23,23,-,23,37
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,17,16,10,10
"ACCIÓN POR CORRIENTES (14)",26,25,25,24,25
"UNIDOS POR CORRIENTES (15)",40,40,38,35,36
"LABORISTA AUTÓNOMO (17)",48,46,45,42,42
"ELI - ENCUENTRO LIBERAL (18)",72,67,68,64,64
"CAMBIO POPULAR (19)",18,19,19,25,25
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",22,22,-,28,20
"CONVOCATORIA POPULAR (21)",14,15,-,15,-
"FE (23)",13,13,18,20,-
"NUESTRA CAUSA (24)",9,9,9,9,9
"UNION POPULAR (25)",72,64,63,61,63
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",27,27,27,29,27
"ENCUENTRO CORRELIGIONARIO (27)",87,82,82,81,80
"CAMBIO AUSTERIDAD Y PROGRESO (28)",31,30,30,28,29
"DEL TRABAJO Y DEL PUEBLO (29)",64,65,63,77,68
"CIUDADANOS A GOBERNAR (30)",29,28,28,26,26
"CONSERVADOR POPULAR (31)",24,22,20,21,21
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",28,23,22,25,23
"NUEVO PAIS (33)",36,36,-,53,52
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",37,36,37,33,33
"TERCERA POSICIÓN (35)",16,18,16,17,-
"UNIÓN CORRENTINA (37)",29,29,27,28,28
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",43,40,42,37,37
"UNIÓN PARA EL DESARROLLO (42)",27,27,26,25,27
"NORTE GRANDE (43)",54,52,49,49,50
"ACCIÓN POR LA REPÚBLICA (44)",41,38,34,33,33
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",23,20,-,24,23
"VAMOS CORRIENTES (46)",85,81,81,78,79
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",173,161,158,155,151
"PARTIDO AGRARIO Y SOCIAL (49)",34,34,-,44,40
"SOCIALISTA (50)",49,45,45,45,44
"LIBERAL (51)",67,65,63,58,57
"AUTONOMISTA (52)",76,74,73,71,70
"DE LA VICTORIA (54)",45,45,46,51,48
"PROYECTO CORRIENTES (57)",51,45,-,76,67
"PRO - PROPUESTA REPUBLICANA (64)",40,39,39,35,35
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,17,19,24,19
"NUEVO (90)",68,66,66,59,61
"POPULAR CORRENTINO (169)",237,229,222,196,201
"CRECER CON TODOS (170)",66,64,64,59,59
"UNIÓN CELESTE Y BLANCO (173)",25,27,-,36,33
"COMPROMISO CORRENTINO (175)",60,58,-,68,65
"KOLINA (192)",22,22,23,24,23
"INTEGRACIÓN CORRENTINA (36)",-,-,-,51,52
"NUEVA CORRIENTES (41)",-,-,-,14,11
"Votos en Blanco",102,230,286,228,312
"Votos Nulos",85,61,60,60,61
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
