partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,84,83,79,79
"JUSTICIALISTA (2)",102,102,296,127,121
"UNIÓN CÍVICA RADICAL (3)",516,486,483,405,394
"MOVIMIENTO SIEMPRE CORRIENTES (4)",65,62,61,60,60
"DEMÓCRATA CRISTIANO (5)",28,27,26,31,29
"DE LA CONCERTACIÓN - FORJA (7)",33,31,30,27,27
"FEDERAL (8)",43,43,-,55,51
"DEMÓCRATA PROGRESISTA (9)",87,79,78,74,77
"RENOVADOR FEDERAL (10)",64,63,67,73,69
"LADRILLEROS UNIDOS (11)",54,52,52,48,48
"COMUNISTA (12)",14,15,-,14,38
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",15,17,16,8,8
"ACCIÓN POR CORRIENTES (14)",41,38,37,36,39
"UNIDOS POR CORRIENTES (15)",43,40,40,40,38
"LABORISTA AUTÓNOMO (17)",33,33,32,28,27
"ELI - ENCUENTRO LIBERAL (18)",97,94,92,85,89
"CAMBIO POPULAR (19)",17,17,17,19,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,13,-,16,17
"CONVOCATORIA POPULAR (21)",19,18,-,23,-
"FE (23)",11,11,11,14,-
"NUESTRA CAUSA (24)",9,9,10,12,10
"UNION POPULAR (25)",100,96,95,88,87
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,11,11,14,12
"ENCUENTRO CORRELIGIONARIO (27)",44,44,43,43,43
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,24,24,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",27,27,29,35,34
"CIUDADANOS A GOBERNAR (30)",56,55,55,46,52
"CONSERVADOR POPULAR (31)",26,28,24,22,23
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,30,31,26,26
"NUEVO PAIS (33)",37,37,-,44,44
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",36,35,35,31,30
"TERCERA POSICIÓN (35)",7,6,6,6,-
"UNIÓN CORRENTINA (37)",22,22,22,20,20
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",20,18,18,13,13
"UNIÓN PARA EL DESARROLLO (42)",11,11,11,11,11
"NORTE GRANDE (43)",10,9,9,9,9
"ACCIÓN POR LA REPÚBLICA (44)",29,29,28,28,29
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",16,16,-,20,20
"VAMOS CORRIENTES (46)",13,12,12,11,11
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",81,79,78,72,73
"PARTIDO AGRARIO Y SOCIAL (49)",45,46,-,60,56
"SOCIALISTA (50)",19,19,17,15,14
"LIBERAL (51)",67,65,72,64,65
"AUTONOMISTA (52)",47,48,49,43,44
"DE LA VICTORIA (54)",23,23,26,29,27
"PROYECTO CORRIENTES (57)",19,18,-,32,22
"PRO - PROPUESTA REPUBLICANA (64)",21,21,20,19,19
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,10,10
"NUEVO (90)",46,47,47,46,48
"POPULAR CORRENTINO (169)",86,86,83,80,80
"CRECER CON TODOS (170)",15,15,15,14,14
"UNIÓN CELESTE Y BLANCO (173)",10,9,-,13,12
"COMPROMISO CORRENTINO (175)",4,4,-,8,7
"KOLINA (192)",3,3,4,5,5
"INTEGRACIÓN CORRENTINA (36)",-,-,-,55,56
"NUEVA CORRIENTES (41)",-,-,-,12,12
"Votos en Blanco",73,148,179,140,190
"Votos Nulos",42,37,38,37,36
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
