partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",79,76,76
"JUSTICIALISTA (2)",49,47,109
"UNIÓN CÍVICA RADICAL (3)",339,327,327
"MOVIMIENTO SIEMPRE CORRIENTES (4)",57,56,56
"DEMÓCRATA CRISTIANO (5)",18,18,18
"DE LA CONCERTACIÓN - FORJA (7)",82,80,80
"FEDERAL (8)",11,11,-
"DEMÓCRATA PROGRESISTA (9)",56,56,55
"RENOVADOR FEDERAL (10)",28,27,28
"LADRILLEROS UNIDOS (11)",24,25,25
"COMUNISTA (12)",4,3,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,11,12
"ACCIÓN POR CORRIENTES (14)",25,25,24
"UNIDOS POR CORRIENTES (15)",65,65,65
"LABORISTA AUTÓNOMO (17)",30,28,28
"ELI - ENCUENTRO LIBERAL (18)",66,65,65
"CAMBIO POPULAR (19)",18,16,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",7,7,-
"FE (23)",9,9,9
"NUESTRA CAUSA (24)",18,17,17
"UNION POPULAR (25)",83,81,82
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,12
"ENCUENTRO CORRELIGIONARIO (27)",118,115,116
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,21,21
"DEL TRABAJO Y DEL PUEBLO (29)",7,6,6
"CIUDADANOS A GOBERNAR (30)",47,48,48
"CONSERVADOR POPULAR (31)",35,35,34
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,20,20
"NUEVO PAIS (33)",5,5,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",21,21,21
"TERCERA POSICIÓN (35)",4,4,4
"UNIÓN CORRENTINA (37)",22,19,19
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",23,23,23
"UNIÓN PARA EL DESARROLLO (42)",56,54,53
"NORTE GRANDE (43)",28,27,27
"ACCIÓN POR LA REPÚBLICA (44)",74,73,73
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",117,117,116
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",37,36,36
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-
"SOCIALISTA (50)",40,38,38
"LIBERAL (51)",68,65,65
"AUTONOMISTA (52)",62,62,62
"DE LA VICTORIA (54)",10,10,10
"PROYECTO CORRIENTES (57)",23,23,-
"PRO - PROPUESTA REPUBLICANA (64)",123,120,120
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5
"NUEVO (90)",28,27,27
"POPULAR CORRENTINO (169)",69,68,67
"CRECER CON TODOS (170)",23,22,22
"UNIÓN CELESTE Y BLANCO (173)",6,6,-
"COMPROMISO CORRENTINO (175)",23,15,-
"KOLINA (192)",28,28,26
"Votos en Blanco",38,104,117
"Votos Nulos",34,28,28
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
