partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",43,41,40,42,45
"JUSTICIALISTA (2)",261,262,432,273,266
"UNIÓN CÍVICA RADICAL (3)",428,422,416,427,401
"MOVIMIENTO SIEMPRE CORRIENTES (4)",47,44,44,44,44
"DEMÓCRATA CRISTIANO (5)",2,2,2,-,-
"DE LA CONCERTACIÓN - FORJA (7)",33,31,31,31,30
"FEDERAL (8)",42,44,-,47,48
"DEMÓCRATA PROGRESISTA (9)",17,17,15,17,17
"RENOVADOR FEDERAL (10)",37,36,37,37,38
"LADRILLEROS UNIDOS (11)",34,31,28,25,24
"COMUNISTA (12)",6,6,-,12,8
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,22,22,24,23
"ACCIÓN POR CORRIENTES (14)",58,58,58,58,58
"UNIDOS POR CORRIENTES (15)",22,21,21,21,22
"LABORISTA AUTÓNOMO (17)",13,11,10,13,10
"ELI - ENCUENTRO LIBERAL (18)",59,59,59,59,42
"CAMBIO POPULAR (19)",11,11,11,11,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-,11,11
"CONVOCATORIA POPULAR (21)",16,16,-,16,16
"FE (23)",8,8,8,8,7
"NUESTRA CAUSA (24)",4,4,4,4,4
"UNION POPULAR (25)",103,99,99,101,98
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",19,20,19,-,19
"ENCUENTRO CORRELIGIONARIO (27)",23,23,23,23,23
"CAMBIO AUSTERIDAD Y PROGRESO (28)",53,50,50,53,71
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,7,7
"CIUDADANOS A GOBERNAR (30)",31,31,31,32,32
"CONSERVADOR POPULAR (31)",30,29,30,29,32
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",18,18,18,18,19
"NUEVO PAIS (33)",3,3,-,25,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",20,19,19,21,33
"TERCERA POSICIÓN (35)",24,25,24,26,25
"UNIÓN CORRENTINA (37)",7,8,8,11,9
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",72,68,67,69,75
"UNIÓN PARA EL DESARROLLO (42)",29,19,19,19,17
"NORTE GRANDE (43)",8,8,7,9,9
"ACCIÓN POR LA REPÚBLICA (44)",29,29,29,30,30
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",28,27,27,27,26
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,18,18,18,18
"PARTIDO AGRARIO Y SOCIAL (49)",19,20,-,-,18
"SOCIALISTA (50)",21,21,21,21,21
"LIBERAL (51)",82,80,79,85,88
"AUTONOMISTA (52)",31,31,31,30,28
"DE LA VICTORIA (54)",26,25,26,25,25
"PROYECTO CORRIENTES (57)",18,18,-,18,18
"PRO - PROPUESTA REPUBLICANA (64)",108,106,106,107,96
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,17,17,18,18
"NUEVO (90)",11,11,11,11,12
"POPULAR CORRENTINO (169)",44,43,43,45,43
"CRECER CON TODOS (170)",46,42,41,42,43
"UNIÓN CELESTE Y BLANCO (173)",42,42,-,44,42
"COMPROMISO CORRENTINO (175)",13,13,-,14,12
"KOLINA (192)",43,44,44,45,44
"Votos en Blanco",78,111,130,78,101
"Votos Nulos",46,51,51,52,52
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
