partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",56,52,54
"JUSTICIALISTA (2)",187,181,210
"UNIÓN CÍVICA RADICAL (3)",378,341,338
"MOVIMIENTO SIEMPRE CORRIENTES (4)",14,12,12
"DEMÓCRATA CRISTIANO (5)",20,19,18
"DE LA CONCERTACIÓN - FORJA (7)",32,31,29
"FEDERAL (8)",1,1,-
"DEMÓCRATA PROGRESISTA (9)",22,19,18
"RENOVADOR FEDERAL (10)",66,68,73
"LADRILLEROS UNIDOS (11)",26,22,23
"COMUNISTA (12)",7,7,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",6,6,7
"ACCIÓN POR CORRIENTES (14)",13,12,12
"UNIDOS POR CORRIENTES (15)",14,14,14
"LABORISTA AUTÓNOMO (17)",7,6,7
"ELI - ENCUENTRO LIBERAL (18)",57,52,52
"CAMBIO POPULAR (19)",6,5,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,6,-
"CONVOCATORIA POPULAR (21)",5,4,-
"FE (23)",2,2,2
"NUESTRA CAUSA (24)",3,3,3
"UNION POPULAR (25)",16,16,16
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",15,13,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",96,91,100
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",11,11,11
"CONSERVADOR POPULAR (31)",1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,11
"NUEVO PAIS (33)",2,2,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,5,5
"TERCERA POSICIÓN (35)",1,1,1
"UNIÓN CORRENTINA (37)",5,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1
"UNIÓN PARA EL DESARROLLO (42)",4,4,4
"NORTE GRANDE (43)",11,11,11
"ACCIÓN POR LA REPÚBLICA (44)",4,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",10,10,-
"VAMOS CORRIENTES (46)",15,15,15
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-
"SOCIALISTA (50)",3,3,3
"LIBERAL (51)",93,89,89
"AUTONOMISTA (52)",6,5,5
"DE LA VICTORIA (54)",6,5,5
"PROYECTO CORRIENTES (57)",2,2,-
"PRO - PROPUESTA REPUBLICANA (64)",24,22,22
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2
"NUEVO (90)",11,8,9
"POPULAR CORRENTINO (169)",16,16,16
"CRECER CON TODOS (170)",6,6,6
"UNIÓN CELESTE Y BLANCO (173)",4,4,-
"COMPROMISO CORRENTINO (175)",1,1,-
"KOLINA (192)",4,4,3
"Votos en Blanco",35,129,127
"Votos Nulos",28,21,22
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
