partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",18,18,18,24,23
"JUSTICIALISTA (2)",16,16,30,-,-
"UNIÓN CÍVICA RADICAL (3)",39,39,39,36,40
"MOVIMIENTO SIEMPRE CORRIENTES (4)",19,19,19,18,19
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,-
"DE LA CONCERTACIÓN - FORJA (7)",6,6,6,6,6
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",15,17,16,21,19
"RENOVADOR FEDERAL (10)",3,3,1,-,-
"LADRILLEROS UNIDOS (11)",5,5,5,5,5
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",22,21,21,22,21
"UNIDOS POR CORRIENTES (15)",22,22,22,22,22
"LABORISTA AUTÓNOMO (17)",7,7,7,7,7
"ELI - ENCUENTRO LIBERAL (18)",76,77,77,79,76
"CAMBIO POPULAR (19)",4,4,4,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,-,-
"CONVOCATORIA POPULAR (21)",3,3,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",2,2,2,-,-
"UNION POPULAR (25)",84,84,84,84,80
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",27,27,26,37,35
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,6,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,-
"CIUDADANOS A GOBERNAR (30)",14,14,14,14,14
"CONSERVADOR POPULAR (31)",22,22,22,23,21
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",23,23,23,23,21
"NUEVO PAIS (33)",1,1,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,5,5,-,-
"TERCERA POSICIÓN (35)",3,3,3,-,-
"UNIÓN CORRENTINA (37)",10,10,10,10,11
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,10,10,10,10
"UNIÓN PARA EL DESARROLLO (42)",16,16,16,16,16
"NORTE GRANDE (43)",19,19,19,22,20
"ACCIÓN POR LA REPÚBLICA (44)",28,28,28,28,28
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,7,-,-,-
"VAMOS CORRIENTES (46)",230,228,228,235,227
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",11,11,9,10,10
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",21,21,21,30,30
"LIBERAL (51)",61,61,61,63,61
"AUTONOMISTA (52)",24,24,24,23,24
"DE LA VICTORIA (54)",1,1,1,-,-
"PROYECTO CORRIENTES (57)",4,4,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",25,26,26,27,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,-,-
"NUEVO (90)",21,21,23,13,31
"POPULAR CORRENTINO (169)",349,346,346,363,346
"CRECER CON TODOS (170)",33,33,33,35,34
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,-,-
"COMPROMISO CORRENTINO (175)",3,3,-,-,-
"KOLINA (192)",1,1,1,-,-
"Votos en Blanco",41,41,53,50,72
"Votos Nulos",7,6,6,6,6
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
