partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",31,28,28
"JUSTICIALISTA (2)",45,42,76
"UNIÓN CÍVICA RADICAL (3)",205,202,202
"MOVIMIENTO SIEMPRE CORRIENTES (4)",39,38,38
"DEMÓCRATA CRISTIANO (5)",15,14,14
"DE LA CONCERTACIÓN - FORJA (7)",63,60,60
"FEDERAL (8)",11,11,-
"DEMÓCRATA PROGRESISTA (9)",57,56,56
"RENOVADOR FEDERAL (10)",14,12,12
"LADRILLEROS UNIDOS (11)",21,22,21
"COMUNISTA (12)",8,8,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",2,2,3
"ACCIÓN POR CORRIENTES (14)",16,15,15
"UNIDOS POR CORRIENTES (15)",26,24,24
"LABORISTA AUTÓNOMO (17)",10,10,10
"ELI - ENCUENTRO LIBERAL (18)",32,32,32
"CAMBIO POPULAR (19)",4,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",2,2,-
"FE (23)",3,3,2
"NUESTRA CAUSA (24)",4,3,3
"UNION POPULAR (25)",43,43,43
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3
"ENCUENTRO CORRELIGIONARIO (27)",51,50,49
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,10,9
"DEL TRABAJO Y DEL PUEBLO (29)",9,6,6
"CIUDADANOS A GOBERNAR (30)",20,24,24
"CONSERVADOR POPULAR (31)",17,16,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,22,22
"NUEVO PAIS (33)",6,6,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",30,28,28
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",27,27,27
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18
"UNIÓN PARA EL DESARROLLO (42)",29,29,29
"NORTE GRANDE (43)",10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",22,22,21
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",59,58,58
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",27,27,27
"PARTIDO AGRARIO Y SOCIAL (49)",12,12,-
"SOCIALISTA (50)",12,11,11
"LIBERAL (51)",29,25,25
"AUTONOMISTA (52)",16,15,16
"DE LA VICTORIA (54)",4,4,2
"PROYECTO CORRIENTES (57)",5,5,-
"PRO - PROPUESTA REPUBLICANA (64)",79,78,66
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4
"NUEVO (90)",22,23,23
"POPULAR CORRENTINO (169)",79,78,76
"CRECER CON TODOS (170)",14,14,14
"UNIÓN CELESTE Y BLANCO (173)",10,10,-
"COMPROMISO CORRENTINO (175)",15,15,-
"KOLINA (192)",9,9,9
"Votos en Blanco",20,54,108
"Votos Nulos",29,24,24
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
