partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",17,16,16,16,16
"JUSTICIALISTA (2)",50,57,206,65,52
"UNIÓN CÍVICA RADICAL (3)",361,341,342,287,290
"MOVIMIENTO SIEMPRE CORRIENTES (4)",35,34,32,29,29
"DEMÓCRATA CRISTIANO (5)",33,33,32,35,35
"DE LA CONCERTACIÓN - FORJA (7)",13,12,10,9,9
"FEDERAL (8)",12,12,-,14,14
"DEMÓCRATA PROGRESISTA (9)",15,14,12,11,13
"RENOVADOR FEDERAL (10)",10,11,12,15,13
"LADRILLEROS UNIDOS (11)",17,16,15,16,16
"COMUNISTA (12)",9,9,-,11,14
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,11,11,7,6
"ACCIÓN POR CORRIENTES (14)",8,7,7,7,7
"UNIDOS POR CORRIENTES (15)",20,19,19,17,17
"LABORISTA AUTÓNOMO (17)",22,22,22,21,21
"ELI - ENCUENTRO LIBERAL (18)",99,96,96,94,95
"CAMBIO POPULAR (19)",5,5,5,8,8
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,6,-,14,14
"CONVOCATORIA POPULAR (21)",6,5,-,7,-
"FE (23)",9,9,11,15,-
"NUESTRA CAUSA (24)",10,11,11,11,10
"UNION POPULAR (25)",88,85,82,78,80
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,24,30,37,31
"ENCUENTRO CORRELIGIONARIO (27)",30,29,28,26,25
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,16,16,11,10
"DEL TRABAJO Y DEL PUEBLO (29)",23,23,21,25,23
"CIUDADANOS A GOBERNAR (30)",44,35,35,34,37
"CONSERVADOR POPULAR (31)",32,31,31,30,30
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",29,25,26,25,24
"NUEVO PAIS (33)",24,25,-,32,30
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,15,14,13
"TERCERA POSICIÓN (35)",3,3,3,4,-
"UNIÓN CORRENTINA (37)",28,27,27,26,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",40,30,29,28,26
"UNIÓN PARA EL DESARROLLO (42)",9,8,8,8,8
"NORTE GRANDE (43)",17,18,17,17,17
"ACCIÓN POR LA REPÚBLICA (44)",48,43,43,35,39
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",20,20,-,25,23
"VAMOS CORRIENTES (46)",45,41,42,38,38
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",132,127,123,120,126
"PARTIDO AGRARIO Y SOCIAL (49)",42,42,-,50,47
"SOCIALISTA (50)",53,51,49,44,44
"LIBERAL (51)",49,49,45,44,45
"AUTONOMISTA (52)",59,58,59,55,55
"DE LA VICTORIA (54)",27,27,29,32,30
"PROYECTO CORRIENTES (57)",34,35,-,50,45
"PRO - PROPUESTA REPUBLICANA (64)",28,28,28,25,25
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,12,12,15,13
"NUEVO (90)",52,51,51,47,47
"POPULAR CORRENTINO (169)",109,105,104,92,98
"CRECER CON TODOS (170)",34,33,34,32,33
"UNIÓN CELESTE Y BLANCO (173)",21,21,-,24,23
"COMPROMISO CORRENTINO (175)",22,21,-,30,27
"KOLINA (192)",25,26,26,29,29
"INTEGRACIÓN CORRENTINA (36)",-,-,-,42,40
"NUEVA CORRIENTES (41)",-,-,-,7,7
"Votos en Blanco",63,155,214,144,191
"Votos Nulos",50,29,28,30,30
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
