partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",55,53,52,52,51
"JUSTICIALISTA (2)",505,516,653,515,500
"UNIÓN CÍVICA RADICAL (3)",724,708,706,796,767
"MOVIMIENTO SIEMPRE CORRIENTES (4)",45,45,44,44,44
"DEMÓCRATA CRISTIANO (5)",40,40,41,44,44
"DE LA CONCERTACIÓN - FORJA (7)",52,49,48,47,47
"FEDERAL (8)",42,42,-,42,42
"DEMÓCRATA PROGRESISTA (9)",52,50,50,-,-
"RENOVADOR FEDERAL (10)",30,30,30,32,32
"LADRILLEROS UNIDOS (11)",57,55,55,56,53
"COMUNISTA (12)",10,11,-,10,10
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,19,19,19,19
"ACCIÓN POR CORRIENTES (14)",40,40,40,39,39
"UNIDOS POR CORRIENTES (15)",39,39,40,38,38
"LABORISTA AUTÓNOMO (17)",18,17,17,-,-
"ELI - ENCUENTRO LIBERAL (18)",331,329,328,331,324
"CAMBIO POPULAR (19)",47,47,47,47,46
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",12,12,-,12,12
"FE (23)",4,4,4,2,2
"NUESTRA CAUSA (24)",10,10,10,10,9
"UNION POPULAR (25)",66,64,65,82,81
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",48,51,50,50,49
"ENCUENTRO CORRELIGIONARIO (27)",29,28,28,28,27
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,22,21,21,20
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10,11,11
"CIUDADANOS A GOBERNAR (30)",19,17,17,18,17
"CONSERVADOR POPULAR (31)",22,22,22,22,22
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",58,58,59,57,68
"NUEVO PAIS (33)",2,2,-,2,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",50,48,48,-,-
"TERCERA POSICIÓN (35)",12,13,12,13,12
"UNIÓN CORRENTINA (37)",20,18,19,19,19
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,10,10,9,8
"UNIÓN PARA EL DESARROLLO (42)",17,17,17,17,17
"NORTE GRANDE (43)",22,21,20,22,20
"ACCIÓN POR LA REPÚBLICA (44)",23,22,22,23,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-,1,1
"VAMOS CORRIENTES (46)",22,20,18,19,19
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",49,50,48,48,45
"PARTIDO AGRARIO Y SOCIAL (49)",13,13,-,14,14
"SOCIALISTA (50)",38,38,38,37,37
"LIBERAL (51)",110,103,106,104,106
"AUTONOMISTA (52)",114,99,105,123,184
"DE LA VICTORIA (54)",21,22,22,21,21
"PROYECTO CORRIENTES (57)",23,25,-,25,24
"PRO - PROPUESTA REPUBLICANA (64)",54,49,49,49,44
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,16,16,16,16
"NUEVO (90)",35,35,35,35,37
"POPULAR CORRENTINO (169)",89,85,85,87,85
"CRECER CON TODOS (170)",47,44,44,55,55
"UNIÓN CELESTE Y BLANCO (173)",40,40,-,42,41
"COMPROMISO CORRENTINO (175)",6,6,-,4,4
"KOLINA (192)",16,16,16,18,17
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,31,30
"Votos en Blanco",73,136,151,82,88
"Votos Nulos",41,34,32,32,32
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
