partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",48,47,46,45,44
"JUSTICIALISTA (2)",189,192,290,206,196
"UNIÓN CÍVICA RADICAL (3)",84,77,76,72,73
"MOVIMIENTO SIEMPRE CORRIENTES (4)",16,13,13,13,12
"DEMÓCRATA CRISTIANO (5)",16,17,17,19,18
"DE LA CONCERTACIÓN - FORJA (7)",18,17,17,17,17
"FEDERAL (8)",20,20,-,22,20
"DEMÓCRATA PROGRESISTA (9)",12,10,10,10,11
"RENOVADOR FEDERAL (10)",6,7,6,6,6
"LADRILLEROS UNIDOS (11)",37,35,35,36,36
"COMUNISTA (12)",7,7,-,7,7
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,9,10,9
"ACCIÓN POR CORRIENTES (14)",19,19,19,19,19
"UNIDOS POR CORRIENTES (15)",33,33,32,32,32
"LABORISTA AUTÓNOMO (17)",19,18,18,18,18
"ELI - ENCUENTRO LIBERAL (18)",60,58,58,59,60
"CAMBIO POPULAR (19)",9,9,9,9,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-,10,10
"CONVOCATORIA POPULAR (21)",12,12,-,12,12
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",1,1,1,1,1
"UNION POPULAR (25)",53,52,52,56,52
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9,9,9
"ENCUENTRO CORRELIGIONARIO (27)",15,15,15,15,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10,10,10
"CIUDADANOS A GOBERNAR (30)",7,7,7,7,7
"CONSERVADOR POPULAR (31)",9,9,9,9,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",17,17,17,17,17
"NUEVO PAIS (33)",7,7,-,22,22
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,10,10,10
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",5,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,11,11,10,10
"UNIÓN PARA EL DESARROLLO (42)",47,47,47,47,47
"NORTE GRANDE (43)",12,12,12,12,12
"ACCIÓN POR LA REPÚBLICA (44)",9,9,9,8,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",8,8,-,10,10
"VAMOS CORRIENTES (46)",255,255,255,256,254
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",40,39,39,40,39
"PARTIDO AGRARIO Y SOCIAL (49)",15,15,-,-,-
"SOCIALISTA (50)",12,12,12,12,12
"LIBERAL (51)",38,38,38,37,38
"AUTONOMISTA (52)",15,15,15,15,15
"DE LA VICTORIA (54)",8,8,9,9,9
"PROYECTO CORRIENTES (57)",7,7,-,7,7
"PRO - PROPUESTA REPUBLICANA (64)",39,39,39,38,38
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",13,12,12,12,11
"NUEVO (90)",71,75,78,74,84
"POPULAR CORRENTINO (169)",99,99,99,99,99
"CRECER CON TODOS (170)",31,31,31,31,31
"UNIÓN CELESTE Y BLANCO (173)",10,10,-,10,10
"COMPROMISO CORRENTINO (175)",7,7,-,7,7
"KOLINA (192)",60,59,59,60,60
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,7,7
"Votos en Blanco",52,67,71,41,52
"Votos Nulos",11,10,10,11,10
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
