partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",14,14,14,14,11
"JUSTICIALISTA (2)",149,174,347,194,296
"UNIÓN CÍVICA RADICAL (3)",302,286,285,288,282
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,10,10,12,11
"DEMÓCRATA CRISTIANO (5)",11,11,10,17,20
"DE LA CONCERTACIÓN - FORJA (7)",11,10,10,10,11
"FEDERAL (8)",15,19,-,22,-
"DEMÓCRATA PROGRESISTA (9)",9,7,7,6,4
"RENOVADOR FEDERAL (10)",71,72,94,95,-
"LADRILLEROS UNIDOS (11)",7,5,5,5,3
"COMUNISTA (12)",15,15,-,13,13
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",41,40,39,44,41
"ACCIÓN POR CORRIENTES (14)",12,11,11,11,11
"UNIDOS POR CORRIENTES (15)",14,13,13,13,13
"LABORISTA AUTÓNOMO (17)",4,4,4,4,4
"ELI - ENCUENTRO LIBERAL (18)",23,23,23,22,23
"CAMBIO POPULAR (19)",5,5,5,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",22,22,-,24,-
"CONVOCATORIA POPULAR (21)",1,0,-,2,5
"FE (23)",11,11,11,11,11
"NUESTRA CAUSA (24)",18,25,25,25,-
"UNION POPULAR (25)",6,6,6,7,7
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,15,15,-,10
"ENCUENTRO CORRELIGIONARIO (27)",17,15,15,15,15
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1,1,1
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4,5,4
"CIUDADANOS A GOBERNAR (30)",12,12,12,12,12
"CONSERVADOR POPULAR (31)",5,6,6,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3,2,2
"NUEVO PAIS (33)",23,23,-,56,86
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",30,28,28,31,30
"TERCERA POSICIÓN (35)",10,11,11,11,11
"UNIÓN CORRENTINA (37)",4,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",34,31,31,30,30
"UNIÓN PARA EL DESARROLLO (42)",18,19,19,19,19
"NORTE GRANDE (43)",4,4,4,4,4
"ACCIÓN POR LA REPÚBLICA (44)",7,7,7,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",212,189,183,195,196
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,10,10,10,11
"PARTIDO AGRARIO Y SOCIAL (49)",20,21,-,-,-
"SOCIALISTA (50)",9,9,9,9,9
"LIBERAL (51)",16,15,15,15,15
"AUTONOMISTA (52)",11,12,11,9,11
"DE LA VICTORIA (54)",4,4,4,4,-
"PROYECTO CORRIENTES (57)",23,23,-,24,24
"PRO - PROPUESTA REPUBLICANA (64)",14,14,12,14,14
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,10,6,-
"NUEVO (90)",3,3,3,3,3
"POPULAR CORRENTINO (169)",59,54,58,46,49
"CRECER CON TODOS (170)",29,28,27,26,26
"UNIÓN CELESTE Y BLANCO (173)",37,37,-,39,-
"COMPROMISO CORRENTINO (175)",4,4,-,4,-
"KOLINA (192)",54,56,56,57,57
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,36,34
"Votos en Blanco",109,137,115,49,132
"Votos Nulos",25,19,19,19,19
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
