partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",1,1,1,1,1
"JUSTICIALISTA (2)",3,3,38,-,-
"UNIÓN CÍVICA RADICAL (3)",85,81,80,86,103
"MOVIMIENTO SIEMPRE CORRIENTES (4)",10,10,10,11,9
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,-
"DE LA CONCERTACIÓN - FORJA (7)",14,14,14,13,12
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",11,1,1,1,1
"RENOVADOR FEDERAL (10)",0,0,0,-,-
"LADRILLEROS UNIDOS (11)",2,2,1,1,1
"COMUNISTA (12)",4,4,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,0,-,-
"ACCIÓN POR CORRIENTES (14)",30,29,25,33,30
"UNIDOS POR CORRIENTES (15)",34,35,33,18,13
"LABORISTA AUTÓNOMO (17)",4,4,4,6,4
"ELI - ENCUENTRO LIBERAL (18)",40,39,39,37,39
"CAMBIO POPULAR (19)",2,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",4,4,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",0,0,0,-,-
"UNION POPULAR (25)",466,458,459,525,458
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,1,1,-,-
"ENCUENTRO CORRELIGIONARIO (27)",5,5,6,6,6
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,12,15,10
"DEL TRABAJO Y DEL PUEBLO (29)",2,4,4,-,-
"CIUDADANOS A GOBERNAR (30)",14,14,14,14,14
"CONSERVADOR POPULAR (31)",15,15,15,15,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,12,13,12,22
"NUEVO PAIS (33)",4,4,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,5,5,6,8
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",92,89,90,97,91
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2,-,-
"UNIÓN PARA EL DESARROLLO (42)",13,12,12,12,12
"NORTE GRANDE (43)",11,11,11,12,12
"ACCIÓN POR LA REPÚBLICA (44)",4,4,4,5,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",127,117,116,88,234
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",29,28,-,-,-
"SOCIALISTA (50)",3,3,3,3,3
"LIBERAL (51)",144,144,144,153,137
"AUTONOMISTA (52)",210,210,211,237,159
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",5,5,5,5,4
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",22,22,22,23,21
"POPULAR CORRENTINO (169)",20,20,20,20,19
"CRECER CON TODOS (170)",268,261,261,257,251
"UNIÓN CELESTE Y BLANCO (173)",1,2,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",3,3,3,-,-
"Votos en Blanco",47,94,106,73,94
"Votos Nulos",12,12,12,14,16
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
