partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",30,29,27,27,27
"JUSTICIALISTA (2)",33,33,222,39,38
"UNIÓN CÍVICA RADICAL (3)",423,399,399,338,335
"MOVIMIENTO SIEMPRE CORRIENTES (4)",36,34,34,30,30
"DEMÓCRATA CRISTIANO (5)",14,14,16,20,20
"DE LA CONCERTACIÓN - FORJA (7)",12,10,10,10,10
"FEDERAL (8)",16,18,-,21,21
"DEMÓCRATA PROGRESISTA (9)",22,21,21,19,19
"RENOVADOR FEDERAL (10)",19,22,22,26,23
"LADRILLEROS UNIDOS (11)",27,25,25,26,24
"COMUNISTA (12)",7,8,-,8,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",15,15,15,9,8
"ACCIÓN POR CORRIENTES (14)",38,37,37,34,32
"UNIDOS POR CORRIENTES (15)",41,39,39,36,37
"LABORISTA AUTÓNOMO (17)",6,5,5,5,6
"ELI - ENCUENTRO LIBERAL (18)",62,55,54,52,54
"CAMBIO POPULAR (19)",7,7,8,11,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,10,-,21,21
"CONVOCATORIA POPULAR (21)",10,11,-,9,-
"FE (23)",11,11,11,12,-
"NUESTRA CAUSA (24)",11,11,11,12,13
"UNION POPULAR (25)",84,79,78,76,76
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,17,17,25,23
"ENCUENTRO CORRELIGIONARIO (27)",22,22,21,20,19
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,9,9,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",22,22,22,28,28
"CIUDADANOS A GOBERNAR (30)",11,11,11,10,10
"CONSERVADOR POPULAR (31)",24,23,22,20,21
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",26,25,25,25,25
"NUEVO PAIS (33)",29,34,-,41,38
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",20,19,19,18,18
"TERCERA POSICIÓN (35)",14,15,14,14,-
"UNIÓN CORRENTINA (37)",18,17,16,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",29,27,26,26,26
"UNIÓN PARA EL DESARROLLO (42)",33,31,31,31,30
"NORTE GRANDE (43)",15,14,14,12,12
"ACCIÓN POR LA REPÚBLICA (44)",10,9,9,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,12,-,15,15
"VAMOS CORRIENTES (46)",45,45,44,38,39
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",119,111,106,101,108
"PARTIDO AGRARIO Y SOCIAL (49)",36,36,-,52,46
"SOCIALISTA (50)",25,25,27,24,24
"LIBERAL (51)",51,47,47,40,37
"AUTONOMISTA (52)",38,33,36,35,33
"DE LA VICTORIA (54)",9,9,9,12,12
"PROYECTO CORRIENTES (57)",30,31,-,50,45
"PRO - PROPUESTA REPUBLICANA (64)",25,24,24,24,24
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,13,14
"NUEVO (90)",31,31,31,27,27
"POPULAR CORRENTINO (169)",88,80,77,73,75
"CRECER CON TODOS (170)",21,18,16,15,15
"UNIÓN CELESTE Y BLANCO (173)",10,10,-,15,14
"COMPROMISO CORRENTINO (175)",16,16,-,25,23
"KOLINA (192)",6,6,6,6,6
"INTEGRACIÓN CORRENTINA (36)",-,-,-,46,45
"NUEVA CORRIENTES (41)",-,-,-,7,7
"Votos en Blanco",58,123,131,98,150
"Votos Nulos",42,51,52,52,51
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
