partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,80,79,75,73
"JUSTICIALISTA (2)",88,88,357,113,101
"UNIÓN CÍVICA RADICAL (3)",626,590,582,518,496
"MOVIMIENTO SIEMPRE CORRIENTES (4)",39,38,35,35,35
"DEMÓCRATA CRISTIANO (5)",31,32,33,46,41
"DE LA CONCERTACIÓN - FORJA (7)",55,50,47,48,48
"FEDERAL (8)",37,40,-,63,62
"DEMÓCRATA PROGRESISTA (9)",33,31,30,28,29
"RENOVADOR FEDERAL (10)",51,53,57,67,63
"LADRILLEROS UNIDOS (11)",48,47,45,43,43
"COMUNISTA (12)",21,21,-,34,48
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",20,21,22,27,26
"ACCIÓN POR CORRIENTES (14)",41,41,41,36,36
"UNIDOS POR CORRIENTES (15)",62,62,61,55,55
"LABORISTA AUTÓNOMO (17)",45,41,42,39,39
"ELI - ENCUENTRO LIBERAL (18)",114,108,104,103,100
"CAMBIO POPULAR (19)",18,19,19,23,23
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,14,-,21,19
"CONVOCATORIA POPULAR (21)",19,18,-,22,-
"FE (23)",13,12,14,18,-
"NUESTRA CAUSA (24)",24,24,21,24,24
"UNION POPULAR (25)",92,90,90,84,87
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,21,21,29,27
"ENCUENTRO CORRELIGIONARIO (27)",73,71,70,69,66
"CAMBIO AUSTERIDAD Y PROGRESO (28)",26,24,24,22,21
"DEL TRABAJO Y DEL PUEBLO (29)",33,33,33,42,39
"CIUDADANOS A GOBERNAR (30)",54,52,51,50,49
"CONSERVADOR POPULAR (31)",57,56,56,52,53
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",58,54,53,46,47
"NUEVO PAIS (33)",33,34,-,48,46
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",29,27,27,24,24
"TERCERA POSICIÓN (35)",9,14,10,11,-
"UNIÓN CORRENTINA (37)",50,48,47,41,40
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",42,41,41,38,39
"UNIÓN PARA EL DESARROLLO (42)",34,32,32,28,29
"NORTE GRANDE (43)",35,34,34,34,35
"ACCIÓN POR LA REPÚBLICA (44)",40,37,36,36,35
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",31,30,-,35,32
"VAMOS CORRIENTES (46)",59,55,55,52,50
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",188,178,175,179,176
"PARTIDO AGRARIO Y SOCIAL (49)",42,41,-,42,42
"SOCIALISTA (50)",43,40,40,36,37
"LIBERAL (51)",59,58,57,53,54
"AUTONOMISTA (52)",63,62,63,54,53
"DE LA VICTORIA (54)",20,20,20,26,25
"PROYECTO CORRIENTES (57)",34,32,-,57,52
"PRO - PROPUESTA REPUBLICANA (64)",52,49,47,44,45
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,6,5
"NUEVO (90)",88,86,84,76,83
"POPULAR CORRENTINO (169)",179,179,178,172,171
"CRECER CON TODOS (170)",31,28,28,22,22
"UNIÓN CELESTE Y BLANCO (173)",28,28,-,35,32
"COMPROMISO CORRENTINO (175)",24,23,-,25,25
"KOLINA (192)",10,10,10,13,12
"INTEGRACIÓN CORRENTINA (36)",-,-,-,48,48
"NUEVA CORRIENTES (41)",-,-,-,11,10
"Votos en Blanco",146,279,323,233,327
"Votos Nulos",69,41,43,36,43
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
