partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",43,39,39,41,43
"JUSTICIALISTA (2)",166,171,302,177,168
"UNIÓN CÍVICA RADICAL (3)",482,471,470,482,454
"MOVIMIENTO SIEMPRE CORRIENTES (4)",46,45,45,41,40
"DEMÓCRATA CRISTIANO (5)",5,6,6,-,-
"DE LA CONCERTACIÓN - FORJA (7)",31,31,31,33,31
"FEDERAL (8)",20,20,-,21,21
"DEMÓCRATA PROGRESISTA (9)",23,23,23,23,23
"RENOVADOR FEDERAL (10)",43,37,37,40,40
"LADRILLEROS UNIDOS (11)",19,17,17,19,16
"COMUNISTA (12)",5,5,-,5,5
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,11,11,13,12
"ACCIÓN POR CORRIENTES (14)",49,48,48,50,50
"UNIDOS POR CORRIENTES (15)",19,18,18,19,17
"LABORISTA AUTÓNOMO (17)",8,8,8,9,8
"ELI - ENCUENTRO LIBERAL (18)",54,51,50,51,40
"CAMBIO POPULAR (19)",9,10,10,11,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",16,16,-,16,16
"CONVOCATORIA POPULAR (21)",26,26,-,27,28
"FE (23)",5,6,6,6,6
"NUESTRA CAUSA (24)",21,21,21,22,21
"UNION POPULAR (25)",84,84,83,83,80
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",23,15,15,-,15
"ENCUENTRO CORRELIGIONARIO (27)",10,10,10,11,10
"CAMBIO AUSTERIDAD Y PROGRESO (28)",38,42,42,42,60
"DEL TRABAJO Y DEL PUEBLO (29)",17,14,14,15,15
"CIUDADANOS A GOBERNAR (30)",40,39,39,42,41
"CONSERVADOR POPULAR (31)",55,53,53,54,58
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,8,8,8,8
"NUEVO PAIS (33)",6,7,-,56,7
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",22,26,26,26,35
"TERCERA POSICIÓN (35)",14,16,17,16,16
"UNIÓN CORRENTINA (37)",12,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",81,80,80,87,93
"UNIÓN PARA EL DESARROLLO (42)",19,15,15,15,16
"NORTE GRANDE (43)",15,13,13,15,16
"ACCIÓN POR LA REPÚBLICA (44)",31,34,34,35,33
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,0,-,-,-
"VAMOS CORRIENTES (46)",15,15,15,15,15
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",25,28,28,28,28
"PARTIDO AGRARIO Y SOCIAL (49)",50,48,-,-,48
"SOCIALISTA (50)",46,46,46,47,50
"LIBERAL (51)",63,63,63,60,67
"AUTONOMISTA (52)",43,42,43,43,41
"DE LA VICTORIA (54)",14,14,14,14,14
"PROYECTO CORRIENTES (57)",17,17,-,17,17
"PRO - PROPUESTA REPUBLICANA (64)",122,118,115,121,109
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",49,49,49,50,50
"NUEVO (90)",15,14,14,15,15
"POPULAR CORRENTINO (169)",41,39,39,41,39
"CRECER CON TODOS (170)",41,41,41,43,42
"UNIÓN CELESTE Y BLANCO (173)",11,11,-,12,11
"COMPROMISO CORRENTINO (175)",14,14,-,14,14
"KOLINA (192)",32,33,33,32,32
"Votos en Blanco",83,130,167,102,115
"Votos Nulos",46,42,42,42,43
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
