partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",13,12,12,12,12
"JUSTICIALISTA (2)",160,173,258,202,256
"UNIÓN CÍVICA RADICAL (3)",239,222,218,223,217
"MOVIMIENTO SIEMPRE CORRIENTES (4)",8,8,7,7,7
"DEMÓCRATA CRISTIANO (5)",7,8,8,12,11
"DE LA CONCERTACIÓN - FORJA (7)",6,6,6,5,5
"FEDERAL (8)",21,22,-,25,-
"DEMÓCRATA PROGRESISTA (9)",6,6,6,6,6
"RENOVADOR FEDERAL (10)",58,62,62,63,-
"LADRILLEROS UNIDOS (11)",6,5,5,4,4
"COMUNISTA (12)",8,8,-,10,10
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,19,19,19,18
"ACCIÓN POR CORRIENTES (14)",11,10,10,10,11
"UNIDOS POR CORRIENTES (15)",8,8,7,7,7
"LABORISTA AUTÓNOMO (17)",10,8,8,8,8
"ELI - ENCUENTRO LIBERAL (18)",18,13,13,13,15
"CAMBIO POPULAR (19)",1,1,1,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-,12,-
"CONVOCATORIA POPULAR (21)",1,1,-,2,3
"FE (23)",5,5,5,5,5
"NUESTRA CAUSA (24)",20,24,26,27,-
"UNION POPULAR (25)",6,5,5,4,5
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",34,35,35,-,32
"ENCUENTRO CORRELIGIONARIO (27)",11,11,11,11,11
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",12,11,11,11,12
"CIUDADANOS A GOBERNAR (30)",9,8,8,8,10
"CONSERVADOR POPULAR (31)",10,10,10,10,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,8,8,9,6
"NUEVO PAIS (33)",26,28,-,70,54
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",31,29,29,27,27
"TERCERA POSICIÓN (35)",8,7,7,7,8
"UNIÓN CORRENTINA (37)",6,6,6,6,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",24,24,25,23,24
"UNIÓN PARA EL DESARROLLO (42)",11,10,10,10,10
"NORTE GRANDE (43)",16,14,14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",11,10,10,10,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",160,141,141,144,147
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",4,4,4,4,4
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-,-,-
"SOCIALISTA (50)",13,13,13,12,12
"LIBERAL (51)",24,21,22,21,20
"AUTONOMISTA (52)",17,16,16,16,16
"DE LA VICTORIA (54)",6,6,6,8,-
"PROYECTO CORRIENTES (57)",20,20,-,23,20
"PRO - PROPUESTA REPUBLICANA (64)",12,11,11,11,11
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,0,-
"NUEVO (90)",1,1,1,1,1
"POPULAR CORRENTINO (169)",46,43,47,42,43
"CRECER CON TODOS (170)",19,17,17,16,17
"UNIÓN CELESTE Y BLANCO (173)",11,11,-,10,-
"COMPROMISO CORRENTINO (175)",1,2,-,2,-
"KOLINA (192)",14,12,12,14,12
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,32,29
"Votos en Blanco",64,108,108,28,85
"Votos Nulos",24,24,43,26,52
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
