partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",20,18,17,17,17
"JUSTICIALISTA (2)",150,162,184,161,150
"UNIÓN CÍVICA RADICAL (3)",416,396,399,458,391
"MOVIMIENTO SIEMPRE CORRIENTES (4)",6,5,6,7,7
"DEMÓCRATA CRISTIANO (5)",10,10,10,10,10
"DE LA CONCERTACIÓN - FORJA (7)",11,11,11,11,11
"FEDERAL (8)",8,8,-,9,9
"DEMÓCRATA PROGRESISTA (9)",35,33,34,-,-
"RENOVADOR FEDERAL (10)",10,10,10,11,11
"LADRILLEROS UNIDOS (11)",17,16,16,16,14
"COMUNISTA (12)",4,5,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,7,7,6,6
"ACCIÓN POR CORRIENTES (14)",36,35,35,36,32
"UNIDOS POR CORRIENTES (15)",9,8,8,8,8
"LABORISTA AUTÓNOMO (17)",6,6,6,-,-
"ELI - ENCUENTRO LIBERAL (18)",115,110,107,113,92
"CAMBIO POPULAR (19)",17,17,17,17,17
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",11,11,-,10,10
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",1,1,1,1,1
"UNION POPULAR (25)",26,24,25,29,28
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,6,5,6,6
"ENCUENTRO CORRELIGIONARIO (27)",22,22,22,22,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,12,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",8,9,10,10,10
"CIUDADANOS A GOBERNAR (30)",7,7,6,7,5
"CONSERVADOR POPULAR (31)",4,4,4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",56,51,53,55,61
"NUEVO PAIS (33)",0,1,-,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",42,42,42,-,-
"TERCERA POSICIÓN (35)",6,7,6,6,7
"UNIÓN CORRENTINA (37)",11,11,11,11,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,15,15,16,14
"UNIÓN PARA EL DESARROLLO (42)",3,3,4,3,3
"NORTE GRANDE (43)",10,10,10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",21,19,19,19,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",5,4,4,4,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",25,24,24,25,24
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-,4,4
"SOCIALISTA (50)",14,14,12,14,12
"LIBERAL (51)",85,85,85,83,76
"AUTONOMISTA (52)",98,84,92,110,201
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",2,2,-,3,3
"PRO - PROPUESTA REPUBLICANA (64)",39,38,39,38,35
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",16,15,16,15,23
"POPULAR CORRENTINO (169)",37,33,32,36,29
"CRECER CON TODOS (170)",23,22,20,31,30
"UNIÓN CELESTE Y BLANCO (173)",16,17,-,17,17
"COMPROMISO CORRENTINO (175)",0,0,-,1,1
"KOLINA (192)",11,12,11,12,11
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,6,6
"Votos en Blanco",41,93,111,54,85
"Votos Nulos",12,10,10,10,10
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
