partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",69,65,65
"JUSTICIALISTA (2)",202,204,313
"UNIÓN CÍVICA RADICAL (3)",415,398,399
"MOVIMIENTO SIEMPRE CORRIENTES (4)",28,25,25
"DEMÓCRATA CRISTIANO (5)",25,26,26
"DE LA CONCERTACIÓN - FORJA (7)",16,16,14
"FEDERAL (8)",12,12,-
"DEMÓCRATA PROGRESISTA (9)",41,39,39
"RENOVADOR FEDERAL (10)",33,34,32
"LADRILLEROS UNIDOS (11)",20,17,17
"COMUNISTA (12)",9,9,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7
"ACCIÓN POR CORRIENTES (14)",28,28,28
"UNIDOS POR CORRIENTES (15)",83,78,79
"LABORISTA AUTÓNOMO (17)",12,11,11
"ELI - ENCUENTRO LIBERAL (18)",87,84,84
"CAMBIO POPULAR (19)",20,20,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-
"CONVOCATORIA POPULAR (21)",5,5,-
"FE (23)",6,6,5
"NUESTRA CAUSA (24)",17,16,16
"UNION POPULAR (25)",15,15,15
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",14,14,14
"ENCUENTRO CORRELIGIONARIO (27)",31,29,29
"CAMBIO AUSTERIDAD Y PROGRESO (28)",40,39,40
"DEL TRABAJO Y DEL PUEBLO (29)",19,19,19
"CIUDADANOS A GOBERNAR (30)",11,9,9
"CONSERVADOR POPULAR (31)",17,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",34,33,33
"NUEVO PAIS (33)",16,15,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",28,27,27
"TERCERA POSICIÓN (35)",6,6,6
"UNIÓN CORRENTINA (37)",17,15,15
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,11,11
"UNIÓN PARA EL DESARROLLO (42)",15,14,14
"NORTE GRANDE (43)",43,40,40
"ACCIÓN POR LA REPÚBLICA (44)",27,26,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-
"VAMOS CORRIENTES (46)",32,30,30
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",27,25,25
"PARTIDO AGRARIO Y SOCIAL (49)",15,15,-
"SOCIALISTA (50)",35,34,34
"LIBERAL (51)",111,110,111
"AUTONOMISTA (52)",33,33,35
"DE LA VICTORIA (54)",29,29,29
"PROYECTO CORRIENTES (57)",17,16,-
"PRO - PROPUESTA REPUBLICANA (64)",28,28,28
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,14,14
"NUEVO (90)",13,13,13
"POPULAR CORRENTINO (169)",87,85,85
"CRECER CON TODOS (170)",30,30,30
"UNIÓN CELESTE Y BLANCO (173)",13,13,-
"COMPROMISO CORRENTINO (175)",7,7,-
"KOLINA (192)",13,14,14
"Votos en Blanco",28,107,109
"Votos Nulos",47,30,30
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
