partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",65,64,63
"JUSTICIALISTA (2)",259,260,393
"UNIÓN CÍVICA RADICAL (3)",465,454,452
"MOVIMIENTO SIEMPRE CORRIENTES (4)",29,29,29
"DEMÓCRATA CRISTIANO (5)",23,23,23
"DE LA CONCERTACIÓN - FORJA (7)",39,34,33
"FEDERAL (8)",14,15,-
"DEMÓCRATA PROGRESISTA (9)",31,30,30
"RENOVADOR FEDERAL (10)",35,36,37
"LADRILLEROS UNIDOS (11)",28,28,28
"COMUNISTA (12)",22,22,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,12,12
"ACCIÓN POR CORRIENTES (14)",38,38,38
"UNIDOS POR CORRIENTES (15)",30,26,26
"LABORISTA AUTÓNOMO (17)",19,18,18
"ELI - ENCUENTRO LIBERAL (18)",72,68,71
"CAMBIO POPULAR (19)",14,14,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",14,14,-
"FE (23)",9,9,7
"NUESTRA CAUSA (24)",3,3,2
"UNION POPULAR (25)",33,32,32
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",19,19,20
"ENCUENTRO CORRELIGIONARIO (27)",38,37,37
"CAMBIO AUSTERIDAD Y PROGRESO (28)",80,78,77
"DEL TRABAJO Y DEL PUEBLO (29)",5,4,4
"CIUDADANOS A GOBERNAR (30)",50,47,47
"CONSERVADOR POPULAR (31)",19,18,19
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",34,32,33
"NUEVO PAIS (33)",10,10,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,10
"TERCERA POSICIÓN (35)",17,18,17
"UNIÓN CORRENTINA (37)",21,21,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",23,23,23
"UNIÓN PARA EL DESARROLLO (42)",11,11,11
"NORTE GRANDE (43)",17,17,17
"ACCIÓN POR LA REPÚBLICA (44)",21,21,21
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",72,70,70
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",42,41,41
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",11,11,11
"LIBERAL (51)",25,24,24
"AUTONOMISTA (52)",31,29,29
"DE LA VICTORIA (54)",29,29,29
"PROYECTO CORRIENTES (57)",20,20,-
"PRO - PROPUESTA REPUBLICANA (64)",53,48,46
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8
"NUEVO (90)",35,36,35
"POPULAR CORRENTINO (169)",52,50,50
"CRECER CON TODOS (170)",36,35,34
"UNIÓN CELESTE Y BLANCO (173)",38,38,-
"COMPROMISO CORRENTINO (175)",10,9,-
"KOLINA (192)",26,28,28
"Votos en Blanco",40,111,112
"Votos Nulos",54,26,27
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
