partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",52,48,46,42,42
"JUSTICIALISTA (2)",54,57,242,72,65
"UNIÓN CÍVICA RADICAL (3)",395,380,380,302,312
"MOVIMIENTO SIEMPRE CORRIENTES (4)",56,53,52,45,44
"DEMÓCRATA CRISTIANO (5)",22,22,24,35,38
"DE LA CONCERTACIÓN - FORJA (7)",54,47,44,39,39
"FEDERAL (8)",23,23,-,34,32
"DEMÓCRATA PROGRESISTA (9)",50,48,44,38,41
"RENOVADOR FEDERAL (10)",22,21,22,23,24
"LADRILLEROS UNIDOS (11)",33,30,29,26,26
"COMUNISTA (12)",31,21,-,25,28
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",21,21,21,19,19
"ACCIÓN POR CORRIENTES (14)",29,29,30,28,27
"UNIDOS POR CORRIENTES (15)",35,34,34,34,34
"LABORISTA AUTÓNOMO (17)",20,18,18,17,17
"ELI - ENCUENTRO LIBERAL (18)",112,112,108,105,106
"CAMBIO POPULAR (19)",23,23,24,26,27
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,4,-,10,10
"CONVOCATORIA POPULAR (21)",7,7,-,10,-
"FE (23)",7,7,6,6,-
"NUESTRA CAUSA (24)",6,6,7,8,8
"UNION POPULAR (25)",60,54,53,51,51
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",19,19,19,24,26
"ENCUENTRO CORRELIGIONARIO (27)",43,40,39,37,35
"CAMBIO AUSTERIDAD Y PROGRESO (28)",26,25,25,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",14,15,16,20,20
"CIUDADANOS A GOBERNAR (30)",21,21,20,18,19
"CONSERVADOR POPULAR (31)",9,9,9,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",12,12,12,12,12
"NUEVO PAIS (33)",22,23,-,30,30
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,10,10,10,10
"TERCERA POSICIÓN (35)",4,5,6,6,-
"UNIÓN CORRENTINA (37)",7,6,6,6,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",25,24,23,19,23
"UNIÓN PARA EL DESARROLLO (42)",9,9,9,6,6
"NORTE GRANDE (43)",12,12,12,11,13
"ACCIÓN POR LA REPÚBLICA (44)",22,22,21,20,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-,9,8
"VAMOS CORRIENTES (46)",28,28,28,26,26
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",70,66,66,65,66
"PARTIDO AGRARIO Y SOCIAL (49)",28,27,-,35,33
"SOCIALISTA (50)",17,16,16,16,16
"LIBERAL (51)",49,47,46,43,42
"AUTONOMISTA (52)",55,54,55,51,50
"DE LA VICTORIA (54)",29,29,32,40,35
"PROYECTO CORRIENTES (57)",26,25,-,32,29
"PRO - PROPUESTA REPUBLICANA (64)",22,22,22,21,21
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,8,8
"NUEVO (90)",30,30,29,27,28
"POPULAR CORRENTINO (169)",104,101,99,92,92
"CRECER CON TODOS (170)",46,43,42,37,36
"UNIÓN CELESTE Y BLANCO (173)",19,19,-,20,20
"COMPROMISO CORRENTINO (175)",28,27,-,37,33
"KOLINA (192)",18,18,17,23,21
"INTEGRACIÓN CORRENTINA (36)",-,-,-,48,44
"NUEVA CORRIENTES (41)",-,-,-,6,6
"Votos en Blanco",46,112,121,108,133
"Votos Nulos",53,53,55,54,55
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
