partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",29,28,28,28,29
"JUSTICIALISTA (2)",212,218,360,225,219
"UNIÓN CÍVICA RADICAL (3)",507,499,496,579,554
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,11,11,11,11
"DEMÓCRATA CRISTIANO (5)",16,17,17,18,18
"DE LA CONCERTACIÓN - FORJA (7)",20,20,20,20,20
"FEDERAL (8)",20,20,-,15,15
"DEMÓCRATA PROGRESISTA (9)",25,24,24,-,-
"RENOVADOR FEDERAL (10)",17,18,18,19,21
"LADRILLEROS UNIDOS (11)",20,17,15,17,17
"COMUNISTA (12)",5,5,-,5,5
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,10,10,11,9
"ACCIÓN POR CORRIENTES (14)",11,9,9,9,9
"UNIDOS POR CORRIENTES (15)",17,16,16,16,16
"LABORISTA AUTÓNOMO (17)",7,7,7,-,-
"ELI - ENCUENTRO LIBERAL (18)",200,195,196,197,192
"CAMBIO POPULAR (19)",12,12,13,12,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",13,13,-,13,13
"FE (23)",2,2,2,0,0
"NUESTRA CAUSA (24)",4,4,4,5,5
"UNION POPULAR (25)",57,55,55,63,59
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",31,31,31,32,32
"ENCUENTRO CORRELIGIONARIO (27)",23,22,21,21,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,13,13,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",13,13,13,14,14
"CIUDADANOS A GOBERNAR (30)",26,23,23,24,24
"CONSERVADOR POPULAR (31)",20,20,20,20,20
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",54,51,51,50,56
"NUEVO PAIS (33)",11,11,-,14,12
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",64,64,64,-,-
"TERCERA POSICIÓN (35)",20,20,20,20,20
"UNIÓN CORRENTINA (37)",8,8,8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",41,41,41,41,41
"UNIÓN PARA EL DESARROLLO (42)",30,30,30,30,30
"NORTE GRANDE (43)",33,33,33,33,33
"ACCIÓN POR LA REPÚBLICA (44)",31,31,31,31,30
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-,2,2
"VAMOS CORRIENTES (46)",47,46,45,45,45
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",55,52,52,53,51
"PARTIDO AGRARIO Y SOCIAL (49)",10,10,-,9,9
"SOCIALISTA (50)",45,41,42,43,42
"LIBERAL (51)",107,105,105,106,103
"AUTONOMISTA (52)",85,76,81,95,110
"DE LA VICTORIA (54)",39,39,40,43,43
"PROYECTO CORRIENTES (57)",18,18,-,19,18
"PRO - PROPUESTA REPUBLICANA (64)",59,59,58,59,54
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,10,10,10
"NUEVO (90)",32,31,31,30,32
"POPULAR CORRENTINO (169)",112,108,106,107,108
"CRECER CON TODOS (170)",61,58,57,67,66
"UNIÓN CELESTE Y BLANCO (173)",77,77,-,70,69
"COMPROMISO CORRENTINO (175)",6,6,-,5,5
"KOLINA (192)",26,27,31,32,30
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,15,14
"Votos en Blanco",86,144,165,99,133
"Votos Nulos",33,26,26,26,27
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
