partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",2,1,1,1,2
"JUSTICIALISTA (2)",39,40,51,-,13
"UNIÓN CÍVICA RADICAL (3)",320,313,311,329,356
"MOVIMIENTO SIEMPRE CORRIENTES (4)",7,7,7,7,7
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,0
"DE LA CONCERTACIÓN - FORJA (7)",8,8,8,8,9
"FEDERAL (8)",0,0,-,-,0
"DEMÓCRATA PROGRESISTA (9)",1,1,1,1,1
"RENOVADOR FEDERAL (10)",2,2,1,-,1
"LADRILLEROS UNIDOS (11)",2,1,1,2,2
"COMUNISTA (12)",2,2,-,-,2
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",4,3,2,-,2
"ACCIÓN POR CORRIENTES (14)",66,66,66,70,67
"UNIDOS POR CORRIENTES (15)",11,11,11,12,12
"LABORISTA AUTÓNOMO (17)",15,15,15,13,15
"ELI - ENCUENTRO LIBERAL (18)",13,13,13,13,13
"CAMBIO POPULAR (19)",0,0,0,-,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,-,1
"CONVOCATORIA POPULAR (21)",6,6,-,-,4
"FE (23)",3,1,1,-,1
"NUESTRA CAUSA (24)",0,0,0,-,0
"UNION POPULAR (25)",13,13,10,22,20
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,-,-
"ENCUENTRO CORRELIGIONARIO (27)",21,21,21,21,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,7,5,6
"DEL TRABAJO Y DEL PUEBLO (29)",5,4,3,-,3
"CIUDADANOS A GOBERNAR (30)",8,8,8,8,8
"CONSERVADOR POPULAR (31)",8,8,8,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3,3,3
"NUEVO PAIS (33)",2,2,-,-,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3,3,4
"TERCERA POSICIÓN (35)",2,0,0,-,0
"UNIÓN CORRENTINA (37)",17,17,17,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,11,11,-,-
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3
"NORTE GRANDE (43)",13,13,13,14,14
"ACCIÓN POR LA REPÚBLICA (44)",19,19,19,19,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,2,-,-,-
"VAMOS CORRIENTES (46)",18,18,18,17,19
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",15,15,15,16,15
"PARTIDO AGRARIO Y SOCIAL (49)",2,2,-,-,-
"SOCIALISTA (50)",14,14,14,14,14
"LIBERAL (51)",475,471,475,523,477
"AUTONOMISTA (52)",159,160,159,162,154
"DE LA VICTORIA (54)",2,2,2,-,0
"PROYECTO CORRIENTES (57)",1,1,-,-,1
"PRO - PROPUESTA REPUBLICANA (64)",22,22,22,15,15
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,-,3
"NUEVO (90)",17,17,19,22,21
"POPULAR CORRENTINO (169)",40,40,42,43,42
"CRECER CON TODOS (170)",17,17,17,17,19
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,-,1
"COMPROMISO CORRENTINO (175)",3,2,-,-,0
"KOLINA (192)",2,2,2,-,4
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,-,0
"Votos en Blanco",55,74,84,83,69
"Votos Nulos",10,10,10,9,11
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
