partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",40,37,37,35,35
"JUSTICIALISTA (2)",60,60,236,71,75
"UNIÓN CÍVICA RADICAL (3)",353,344,340,269,267
"MOVIMIENTO SIEMPRE CORRIENTES (4)",26,24,25,23,23
"DEMÓCRATA CRISTIANO (5)",31,30,28,31,30
"DE LA CONCERTACIÓN - FORJA (7)",49,45,46,46,46
"FEDERAL (8)",44,44,-,50,50
"DEMÓCRATA PROGRESISTA (9)",26,25,23,22,22
"RENOVADOR FEDERAL (10)",23,20,22,26,25
"LADRILLEROS UNIDOS (11)",30,29,27,27,27
"COMUNISTA (12)",10,10,-,13,14
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,20,19,7,6
"ACCIÓN POR CORRIENTES (14)",41,38,35,35,34
"UNIDOS POR CORRIENTES (15)",49,43,43,43,43
"LABORISTA AUTÓNOMO (17)",13,12,12,12,12
"ELI - ENCUENTRO LIBERAL (18)",47,45,45,44,44
"CAMBIO POPULAR (19)",11,13,11,18,13
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-,7,7
"CONVOCATORIA POPULAR (21)",2,2,-,6,-
"FE (23)",3,2,4,8,-
"NUESTRA CAUSA (24)",12,12,12,12,12
"UNION POPULAR (25)",21,20,20,19,20
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,8,9,10,10
"ENCUENTRO CORRELIGIONARIO (27)",15,14,14,14,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,10,10,8,9
"DEL TRABAJO Y DEL PUEBLO (29)",15,14,14,15,17
"CIUDADANOS A GOBERNAR (30)",29,28,28,26,27
"CONSERVADOR POPULAR (31)",23,22,23,22,22
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",21,19,19,18,18
"NUEVO PAIS (33)",22,25,-,27,24
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",17,16,16,16,16
"TERCERA POSICIÓN (35)",2,2,2,2,-
"UNIÓN CORRENTINA (37)",13,12,12,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,10,9,8,9
"UNIÓN PARA EL DESARROLLO (42)",34,33,32,29,29
"NORTE GRANDE (43)",11,11,11,11,11
"ACCIÓN POR LA REPÚBLICA (44)",22,21,20,21,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",15,15,-,17,16
"VAMOS CORRIENTES (46)",33,30,30,32,31
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",91,89,78,82,83
"PARTIDO AGRARIO Y SOCIAL (49)",20,21,-,24,24
"SOCIALISTA (50)",13,12,13,12,12
"LIBERAL (51)",63,62,62,64,61
"AUTONOMISTA (52)",43,42,43,39,39
"DE LA VICTORIA (54)",21,21,21,25,22
"PROYECTO CORRIENTES (57)",32,32,-,43,39
"PRO - PROPUESTA REPUBLICANA (64)",26,23,22,22,22
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,3,3,3,3
"NUEVO (90)",58,55,56,50,55
"POPULAR CORRENTINO (169)",65,62,62,57,59
"CRECER CON TODOS (170)",17,17,17,16,16
"UNIÓN CELESTE Y BLANCO (173)",25,24,-,30,27
"COMPROMISO CORRENTINO (175)",12,12,-,15,15
"KOLINA (192)",12,11,11,13,14
"INTEGRACIÓN CORRENTINA (36)",-,-,-,52,51
"NUEVA CORRIENTES (41)",-,-,-,20,18
"Votos en Blanco",52,118,151,93,121
"Votos Nulos",43,34,35,36,36
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
