partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",35,32,32,34,30
"JUSTICIALISTA (2)",267,268,443,283,275
"UNIÓN CÍVICA RADICAL (3)",406,387,389,393,372
"MOVIMIENTO SIEMPRE CORRIENTES (4)",24,24,23,23,22
"DEMÓCRATA CRISTIANO (5)",19,19,20,21,20
"DE LA CONCERTACIÓN - FORJA (7)",52,48,48,48,43
"FEDERAL (8)",26,26,-,26,26
"DEMÓCRATA PROGRESISTA (9)",33,31,31,32,33
"RENOVADOR FEDERAL (10)",38,37,37,41,38
"LADRILLEROS UNIDOS (11)",22,19,20,18,20
"COMUNISTA (12)",21,21,-,21,21
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",18,18,18,18,19
"ACCIÓN POR CORRIENTES (14)",25,23,23,23,24
"UNIDOS POR CORRIENTES (15)",7,7,6,6,6
"LABORISTA AUTÓNOMO (17)",14,9,9,11,8
"ELI - ENCUENTRO LIBERAL (18)",103,103,101,105,99
"CAMBIO POPULAR (19)",42,43,43,45,45
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,0,0
"CONVOCATORIA POPULAR (21)",23,23,-,25,23
"FE (23)",9,9,9,10,10
"NUESTRA CAUSA (24)",19,19,19,19,21
"UNION POPULAR (25)",35,35,34,34,34
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3,2,1
"ENCUENTRO CORRELIGIONARIO (27)",20,18,18,19,19
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,10,11,11,11
"DEL TRABAJO Y DEL PUEBLO (29)",9,9,9,10,10
"CIUDADANOS A GOBERNAR (30)",25,24,25,24,25
"CONSERVADOR POPULAR (31)",10,9,10,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",14,13,14,12,11
"NUEVO PAIS (33)",39,40,-,48,41
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,5,6,6
"TERCERA POSICIÓN (35)",16,16,16,16,15
"UNIÓN CORRENTINA (37)",3,3,3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,19,19,19,18
"UNIÓN PARA EL DESARROLLO (42)",11,10,10,11,10
"NORTE GRANDE (43)",26,23,23,23,21
"ACCIÓN POR LA REPÚBLICA (44)",7,7,7,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",37,35,35,34,35
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,8,8,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",6,6,-,6,6
"SOCIALISTA (50)",26,26,26,26,26
"LIBERAL (51)",28,29,28,25,24
"AUTONOMISTA (52)",112,105,104,125,131
"DE LA VICTORIA (54)",13,13,13,13,13
"PROYECTO CORRIENTES (57)",54,55,-,64,60
"PRO - PROPUESTA REPUBLICANA (64)",42,41,43,31,29
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,10,10,11,9
"NUEVO (90)",5,5,5,4,4
"POPULAR CORRENTINO (169)",46,44,44,43,49
"CRECER CON TODOS (170)",18,16,16,16,15
"UNIÓN CELESTE Y BLANCO (173)",10,11,-,6,6
"COMPROMISO CORRENTINO (175)",5,5,-,5,5
"KOLINA (192)",11,11,11,21,19
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,30,28
"Votos en Blanco",96,160,172,66,128
"Votos Nulos",17,11,11,13,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
