partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",10,10,10
"JUSTICIALISTA (2)",29,29,34
"UNIÓN CÍVICA RADICAL (3)",35,35,34
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0
"DEMÓCRATA CRISTIANO (5)",6,6,6
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",0,0,0
"RENOVADOR FEDERAL (10)",3,3,3
"LADRILLEROS UNIDOS (11)",1,1,1
"COMUNISTA (12)",0,0,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1
"ACCIÓN POR CORRIENTES (14)",0,0,0
"UNIDOS POR CORRIENTES (15)",0,0,0
"LABORISTA AUTÓNOMO (17)",0,0,0
"ELI - ENCUENTRO LIBERAL (18)",0,0,0
"CAMBIO POPULAR (19)",2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-
"CONVOCATORIA POPULAR (21)",2,2,-
"FE (23)",1,1,1
"NUESTRA CAUSA (24)",0,0,0
"UNION POPULAR (25)",0,0,0
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",4,4,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",4,4,4
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1
"TERCERA POSICIÓN (35)",4,4,4
"UNIÓN CORRENTINA (37)",2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",44,44,44
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",0,0,0
"LIBERAL (51)",0,0,0
"AUTONOMISTA (52)",0,0,0
"DE LA VICTORIA (54)",16,17,17
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",3,3,3
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1
"NUEVO (90)",1,1,1
"POPULAR CORRENTINO (169)",4,4,4
"CRECER CON TODOS (170)",0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-
"COMPROMISO CORRENTINO (175)",2,2,-
"KOLINA (192)",0,0,0
"Votos en Blanco",7,32,35
"Votos Nulos",26,0,0
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
