partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",54,52,52,49,49
"JUSTICIALISTA (2)",39,41,285,51,48
"UNIÓN CÍVICA RADICAL (3)",374,352,349,283,278
"MOVIMIENTO SIEMPRE CORRIENTES (4)",40,38,39,34,35
"DEMÓCRATA CRISTIANO (5)",11,12,13,13,14
"DE LA CONCERTACIÓN - FORJA (7)",15,12,12,13,12
"FEDERAL (8)",19,20,-,27,25
"DEMÓCRATA PROGRESISTA (9)",52,50,48,47,47
"RENOVADOR FEDERAL (10)",20,20,21,26,24
"LADRILLEROS UNIDOS (11)",26,24,23,24,23
"COMUNISTA (12)",4,4,-,5,7
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,17,18,7,6
"ACCIÓN POR CORRIENTES (14)",13,11,11,11,11
"UNIDOS POR CORRIENTES (15)",26,25,25,23,23
"LABORISTA AUTÓNOMO (17)",15,15,15,14,15
"ELI - ENCUENTRO LIBERAL (18)",79,78,77,75,76
"CAMBIO POPULAR (19)",6,7,7,10,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-,14,13
"CONVOCATORIA POPULAR (21)",3,3,-,3,-
"FE (23)",17,17,17,20,-
"NUESTRA CAUSA (24)",3,3,3,4,3
"UNION POPULAR (25)",15,14,13,14,12
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",29,26,26,25,25
"CAMBIO AUSTERIDAD Y PROGRESO (28)",15,15,15,14,14
"DEL TRABAJO Y DEL PUEBLO (29)",14,16,16,16,15
"CIUDADANOS A GOBERNAR (30)",29,26,26,22,26
"CONSERVADOR POPULAR (31)",18,18,18,18,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",33,30,29,26,25
"NUEVO PAIS (33)",17,17,-,26,22
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",16,16,15,15,15
"TERCERA POSICIÓN (35)",3,3,3,4,-
"UNIÓN CORRENTINA (37)",11,8,8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18,19,19
"UNIÓN PARA EL DESARROLLO (42)",17,17,16,14,14
"NORTE GRANDE (43)",22,20,19,17,17
"ACCIÓN POR LA REPÚBLICA (44)",29,29,28,29,29
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,8,-,11,10
"VAMOS CORRIENTES (46)",43,42,40,39,39
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",95,109,108,99,104
"PARTIDO AGRARIO Y SOCIAL (49)",69,69,-,77,74
"SOCIALISTA (50)",37,37,36,29,30
"LIBERAL (51)",118,115,112,102,102
"AUTONOMISTA (52)",72,71,71,69,69
"DE LA VICTORIA (54)",32,32,38,45,41
"PROYECTO CORRIENTES (57)",28,28,-,53,38
"PRO - PROPUESTA REPUBLICANA (64)",67,64,63,60,61
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,17,18,18,18
"NUEVO (90)",44,44,43,43,43
"POPULAR CORRENTINO (169)",85,77,74,72,72
"CRECER CON TODOS (170)",55,50,49,46,47
"UNIÓN CELESTE Y BLANCO (173)",47,48,-,60,57
"COMPROMISO CORRENTINO (175)",28,28,-,32,29
"KOLINA (192)",15,15,15,17,16
"INTEGRACIÓN CORRENTINA (36)",-,-,-,54,54
"NUEVA CORRIENTES (41)",-,-,-,12,12
"Votos en Blanco",82,131,137,112,177
"Votos Nulos",45,45,46,45,45
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
