partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",87,82,82,72,72
"JUSTICIALISTA (2)",86,85,303,97,94
"UNIÓN CÍVICA RADICAL (3)",602,580,583,484,484
"MOVIMIENTO SIEMPRE CORRIENTES (4)",80,80,78,75,76
"DEMÓCRATA CRISTIANO (5)",50,51,52,64,60
"DE LA CONCERTACIÓN - FORJA (7)",61,59,59,54,54
"FEDERAL (8)",29,30,-,36,36
"DEMÓCRATA PROGRESISTA (9)",45,45,44,45,46
"RENOVADOR FEDERAL (10)",65,65,67,72,69
"LADRILLEROS UNIDOS (11)",48,47,47,47,48
"COMUNISTA (12)",33,33,-,35,38
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",28,28,29,22,20
"ACCIÓN POR CORRIENTES (14)",36,35,34,33,33
"UNIDOS POR CORRIENTES (15)",29,27,26,27,26
"LABORISTA AUTÓNOMO (17)",41,37,36,36,36
"ELI - ENCUENTRO LIBERAL (18)",85,83,82,79,83
"CAMBIO POPULAR (19)",16,16,16,20,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-,10,9
"CONVOCATORIA POPULAR (21)",2,2,-,2,-
"FE (23)",9,9,11,14,-
"NUESTRA CAUSA (24)",13,14,15,17,17
"UNION POPULAR (25)",62,60,60,59,60
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",27,27,27,30,30
"ENCUENTRO CORRELIGIONARIO (27)",38,37,37,34,34
"CAMBIO AUSTERIDAD Y PROGRESO (28)",19,17,17,17,18
"DEL TRABAJO Y DEL PUEBLO (29)",58,58,56,72,63
"CIUDADANOS A GOBERNAR (30)",30,25,24,23,24
"CONSERVADOR POPULAR (31)",47,47,47,42,43
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",23,23,23,21,21
"NUEVO PAIS (33)",29,37,-,49,45
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,11,11,11,11
"TERCERA POSICIÓN (35)",4,4,4,7,-
"UNIÓN CORRENTINA (37)",29,28,28,26,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",8,8,8,7,7
"UNIÓN PARA EL DESARROLLO (42)",12,11,11,11,11
"NORTE GRANDE (43)",44,44,44,42,43
"ACCIÓN POR LA REPÚBLICA (44)",28,27,26,24,24
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",20,20,-,27,25
"VAMOS CORRIENTES (46)",52,49,48,44,44
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",124,118,116,111,114
"PARTIDO AGRARIO Y SOCIAL (49)",23,23,-,25,25
"SOCIALISTA (50)",14,11,11,10,10
"LIBERAL (51)",40,39,38,34,35
"AUTONOMISTA (52)",47,46,45,40,41
"DE LA VICTORIA (54)",30,29,30,32,31
"PROYECTO CORRIENTES (57)",45,45,-,67,63
"PRO - PROPUESTA REPUBLICANA (64)",34,32,32,31,31
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,10,11,11,11
"NUEVO (90)",36,36,35,36,36
"POPULAR CORRENTINO (169)",187,177,176,169,169
"CRECER CON TODOS (170)",13,13,13,13,13
"UNIÓN CELESTE Y BLANCO (173)",12,12,-,18,16
"COMPROMISO CORRENTINO (175)",15,14,-,16,16
"KOLINA (192)",11,13,13,18,14
"INTEGRACIÓN CORRENTINA (36)",-,-,-,53,55
"NUEVA CORRIENTES (41)",-,-,-,12,10
"Votos en Blanco",90,169,182,154,196
"Votos Nulos",79,68,68,68,68
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
