partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",21,19,18,15,15
"JUSTICIALISTA (2)",57,58,312,70,69
"UNIÓN CÍVICA RADICAL (3)",299,293,286,234,234
"MOVIMIENTO SIEMPRE CORRIENTES (4)",24,21,21,18,18
"DEMÓCRATA CRISTIANO (5)",16,16,16,19,18
"DE LA CONCERTACIÓN - FORJA (7)",16,13,13,12,12
"FEDERAL (8)",24,34,-,43,43
"DEMÓCRATA PROGRESISTA (9)",25,24,23,24,24
"RENOVADOR FEDERAL (10)",22,22,23,27,26
"LADRILLEROS UNIDOS (11)",30,30,40,29,28
"COMUNISTA (12)",15,13,-,19,21
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,13,13,15,14
"ACCIÓN POR CORRIENTES (14)",11,10,10,9,9
"UNIDOS POR CORRIENTES (15)",15,15,15,15,15
"LABORISTA AUTÓNOMO (17)",12,12,12,12,12
"ELI - ENCUENTRO LIBERAL (18)",40,40,39,38,38
"CAMBIO POPULAR (19)",2,2,2,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",12,12,-,18,17
"CONVOCATORIA POPULAR (21)",13,13,-,17,-
"FE (23)",20,19,19,23,-
"NUESTRA CAUSA (24)",13,13,13,16,14
"UNION POPULAR (25)",38,36,36,34,34
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",10,10,10,11,10
"ENCUENTRO CORRELIGIONARIO (27)",32,31,31,31,31
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,11,11,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",20,19,19,21,21
"CIUDADANOS A GOBERNAR (30)",26,24,22,21,26
"CONSERVADOR POPULAR (31)",31,29,29,25,26
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",39,35,34,33,33
"NUEVO PAIS (33)",37,38,-,52,47
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",25,21,21,18,18
"TERCERA POSICIÓN (35)",11,14,12,12,-
"UNIÓN CORRENTINA (37)",14,13,12,11,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",12,11,10,10,10
"UNIÓN PARA EL DESARROLLO (42)",7,7,7,6,6
"NORTE GRANDE (43)",17,16,16,15,9
"ACCIÓN POR LA REPÚBLICA (44)",17,15,15,15,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",10,10,-,12,11
"VAMOS CORRIENTES (46)",34,31,29,29,29
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",112,97,105,103,104
"PARTIDO AGRARIO Y SOCIAL (49)",32,31,-,39,37
"SOCIALISTA (50)",19,17,16,16,16
"LIBERAL (51)",44,43,44,37,31
"AUTONOMISTA (52)",32,30,30,28,28
"DE LA VICTORIA (54)",17,17,18,19,17
"PROYECTO CORRIENTES (57)",40,40,-,45,42
"PRO - PROPUESTA REPUBLICANA (64)",37,37,36,30,30
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,13,13,15,15
"NUEVO (90)",62,59,59,54,56
"POPULAR CORRENTINO (169)",75,69,70,66,65
"CRECER CON TODOS (170)",56,52,52,50,49
"UNIÓN CELESTE Y BLANCO (173)",21,21,-,23,23
"COMPROMISO CORRENTINO (175)",35,36,-,45,42
"KOLINA (192)",26,26,26,27,26
"INTEGRACIÓN CORRENTINA (36)",-,-,-,45,33
"NUEVA CORRIENTES (41)",-,-,-,3,4
"Votos en Blanco",78,140,132,104,195
"Votos Nulos",44,45,46,46,46
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
