partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",12,10,11
"JUSTICIALISTA (2)",351,349,543
"UNIÓN CÍVICA RADICAL (3)",559,549,545
"MOVIMIENTO SIEMPRE CORRIENTES (4)",8,8,8
"DEMÓCRATA CRISTIANO (5)",12,12,12
"DE LA CONCERTACIÓN - FORJA (7)",5,4,4
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",3,3,3
"RENOVADOR FEDERAL (10)",12,13,13
"LADRILLEROS UNIDOS (11)",10,8,8
"COMUNISTA (12)",3,3,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7
"ACCIÓN POR CORRIENTES (14)",13,13,13
"UNIDOS POR CORRIENTES (15)",59,57,58
"LABORISTA AUTÓNOMO (17)",5,4,4
"ELI - ENCUENTRO LIBERAL (18)",83,82,82
"CAMBIO POPULAR (19)",9,9,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,3,-
"CONVOCATORIA POPULAR (21)",3,3,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",7,7,7
"UNION POPULAR (25)",8,8,7
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,12
"ENCUENTRO CORRELIGIONARIO (27)",35,34,34
"CAMBIO AUSTERIDAD Y PROGRESO (28)",44,45,45
"DEL TRABAJO Y DEL PUEBLO (29)",9,9,9
"CIUDADANOS A GOBERNAR (30)",12,9,9
"CONSERVADOR POPULAR (31)",8,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",8,8,8
"NUEVO PAIS (33)",21,21,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,9,8
"TERCERA POSICIÓN (35)",8,8,8
"UNIÓN CORRENTINA (37)",11,10,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,4,4
"UNIÓN PARA EL DESARROLLO (42)",5,5,5
"NORTE GRANDE (43)",16,16,16
"ACCIÓN POR LA REPÚBLICA (44)",19,19,19
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",17,16,16
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,6,7
"PARTIDO AGRARIO Y SOCIAL (49)",9,8,-
"SOCIALISTA (50)",11,11,11
"LIBERAL (51)",97,90,92
"AUTONOMISTA (52)",44,47,44
"DE LA VICTORIA (54)",0,0,0
"PROYECTO CORRIENTES (57)",139,139,-
"PRO - PROPUESTA REPUBLICANA (64)",5,4,5
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,6
"NUEVO (90)",43,45,54
"POPULAR CORRENTINO (169)",126,120,120
"CRECER CON TODOS (170)",5,5,5
"UNIÓN CELESTE Y BLANCO (173)",14,14,-
"COMPROMISO CORRENTINO (175)",9,9,-
"KOLINA (192)",16,15,15
"Votos en Blanco",14,52,51
"Votos Nulos",27,25,25
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
