partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",72,68,68
"JUSTICIALISTA (2)",249,255,413
"UNIÓN CÍVICA RADICAL (3)",590,564,563
"MOVIMIENTO SIEMPRE CORRIENTES (4)",46,41,41
"DEMÓCRATA CRISTIANO (5)",42,43,43
"DE LA CONCERTACIÓN - FORJA (7)",61,61,61
"FEDERAL (8)",24,24,-
"DEMÓCRATA PROGRESISTA (9)",38,37,37
"RENOVADOR FEDERAL (10)",64,62,64
"LADRILLEROS UNIDOS (11)",29,27,17
"COMUNISTA (12)",19,19,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",26,25,25
"ACCIÓN POR CORRIENTES (14)",34,33,33
"UNIDOS POR CORRIENTES (15)",33,28,28
"LABORISTA AUTÓNOMO (17)",22,22,21
"ELI - ENCUENTRO LIBERAL (18)",48,47,47
"CAMBIO POPULAR (19)",7,7,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-
"CONVOCATORIA POPULAR (21)",9,9,-
"FE (23)",4,4,3
"NUESTRA CAUSA (24)",18,17,17
"UNION POPULAR (25)",23,22,22
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,22,22
"ENCUENTRO CORRELIGIONARIO (27)",37,35,35
"CAMBIO AUSTERIDAD Y PROGRESO (28)",80,75,75
"DEL TRABAJO Y DEL PUEBLO (29)",13,13,13
"CIUDADANOS A GOBERNAR (30)",43,35,35
"CONSERVADOR POPULAR (31)",15,14,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,29,30
"NUEVO PAIS (33)",8,8,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,15
"TERCERA POSICIÓN (35)",7,7,6
"UNIÓN CORRENTINA (37)",20,19,19
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",22,22,21
"UNIÓN PARA EL DESARROLLO (42)",10,9,9
"NORTE GRANDE (43)",17,14,14
"ACCIÓN POR LA REPÚBLICA (44)",23,20,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-
"VAMOS CORRIENTES (46)",51,50,50
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",16,15,15
"PARTIDO AGRARIO Y SOCIAL (49)",2,2,-
"SOCIALISTA (50)",31,26,26
"LIBERAL (51)",38,36,37
"AUTONOMISTA (52)",49,48,48
"DE LA VICTORIA (54)",29,29,29
"PROYECTO CORRIENTES (57)",32,32,-
"PRO - PROPUESTA REPUBLICANA (64)",70,63,63
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",24,24,24
"NUEVO (90)",13,13,13
"POPULAR CORRENTINO (169)",57,55,55
"CRECER CON TODOS (170)",31,28,30
"UNIÓN CELESTE Y BLANCO (173)",39,40,-
"COMPROMISO CORRENTINO (175)",22,21,-
"KOLINA (192)",23,23,23
"Votos en Blanco",65,152,180
"Votos Nulos",49,54,53
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
