partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",97,92,91,97,96
"JUSTICIALISTA (2)",52,57,118,55,54
"UNIÓN CÍVICA RADICAL (3)",138,131,128,115,119
"MOVIMIENTO SIEMPRE CORRIENTES (4)",24,22,20,21,21
"DEMÓCRATA CRISTIANO (5)",19,19,19,17,19
"DE LA CONCERTACIÓN - FORJA (7)",50,49,49,52,50
"FEDERAL (8)",1,1,-,4,4
"DEMÓCRATA PROGRESISTA (9)",36,32,32,31,31
"RENOVADOR FEDERAL (10)",9,12,11,9,10
"LADRILLEROS UNIDOS (11)",26,20,24,22,24
"COMUNISTA (12)",2,2,-,7,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,22,9,30,18
"ACCIÓN POR CORRIENTES (14)",30,34,29,26,27
"UNIDOS POR CORRIENTES (15)",37,28,35,32,37
"LABORISTA AUTÓNOMO (17)",7,9,6,5,7
"ELI - ENCUENTRO LIBERAL (18)",37,31,36,28,34
"CAMBIO POPULAR (19)",12,11,12,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",15,16,-,17,18
"CONVOCATORIA POPULAR (21)",3,3,-,2,2
"FE (23)",10,11,10,-,-
"NUESTRA CAUSA (24)",2,4,3,4,4
"UNION POPULAR (25)",25,20,21,23,23
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,4,1,0,0
"ENCUENTRO CORRELIGIONARIO (27)",29,27,29,28,27
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,11,12,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",12,11,11,15,13
"CIUDADANOS A GOBERNAR (30)",12,15,12,11,10
"CONSERVADOR POPULAR (31)",27,24,25,25,24
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,13,17,15,15
"NUEVO PAIS (33)",7,8,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,12,11,13,11
"TERCERA POSICIÓN (35)",4,1,4,-,-
"UNIÓN CORRENTINA (37)",5,10,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",17,10,15,17,16
"UNIÓN PARA EL DESARROLLO (42)",17,18,16,16,16
"NORTE GRANDE (43)",13,12,11,14,13
"ACCIÓN POR LA REPÚBLICA (44)",36,32,35,37,36
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",21,21,-,29,24
"VAMOS CORRIENTES (46)",29,31,28,23,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",21,18,21,21,21
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-,1,1
"SOCIALISTA (50)",8,22,8,8,8
"LIBERAL (51)",67,54,66,64,63
"AUTONOMISTA (52)",16,14,21,13,13
"DE LA VICTORIA (54)",7,10,7,6,6
"PROYECTO CORRIENTES (57)",20,45,-,22,21
"PRO - PROPUESTA REPUBLICANA (64)",106,74,101,106,107
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,8,6,7,8
"NUEVO (90)",16,15,13,13,12
"POPULAR CORRENTINO (169)",80,74,77,79,81
"CRECER CON TODOS (170)",16,15,14,14,14
"UNIÓN CELESTE Y BLANCO (173)",11,11,-,13,12
"COMPROMISO CORRENTINO (175)",6,5,-,5,5
"KOLINA (192)",6,6,6,6,6
"Votos en Blanco",26,81,118,101,112
"Votos Nulos",41,35,35,35,35
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
