partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",35,33,32,33,31
"JUSTICIALISTA (2)",70,70,86,60,77
"UNIÓN CÍVICA RADICAL (3)",461,456,455,457,450
"MOVIMIENTO SIEMPRE CORRIENTES (4)",40,40,39,41,40
"DEMÓCRATA CRISTIANO (5)",10,10,10,9,9
"DE LA CONCERTACIÓN - FORJA (7)",9,9,9,9,9
"FEDERAL (8)",1,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",24,24,24,23,22
"RENOVADOR FEDERAL (10)",22,23,23,22,22
"LADRILLEROS UNIDOS (11)",29,28,28,30,30
"COMUNISTA (12)",1,1,-,1,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,13,13,14,14
"ACCIÓN POR CORRIENTES (14)",9,8,8,8,9
"UNIDOS POR CORRIENTES (15)",12,12,12,13,13
"LABORISTA AUTÓNOMO (17)",15,15,15,17,17
"ELI - ENCUENTRO LIBERAL (18)",28,28,28,29,28
"CAMBIO POPULAR (19)",3,3,3,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-,5,5
"CONVOCATORIA POPULAR (21)",2,2,-,2,2
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",6,6,6,6,6
"UNION POPULAR (25)",18,18,19,19,20
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13,14,14
"ENCUENTRO CORRELIGIONARIO (27)",14,14,14,14,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",58,57,57,57,54
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5,5,5
"CIUDADANOS A GOBERNAR (30)",11,11,11,11,11
"CONSERVADOR POPULAR (31)",3,3,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",79,79,80,82,81
"NUEVO PAIS (33)",6,6,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,9,9,9,9
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",9,9,8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",24,23,23,26,26
"UNIÓN PARA EL DESARROLLO (42)",31,30,30,35,31
"NORTE GRANDE (43)",13,13,13,13,12
"ACCIÓN POR LA REPÚBLICA (44)",8,8,8,8,8
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",44,43,43,42,39
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",5,5,5,5,5
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-,1,4
"SOCIALISTA (50)",11,11,11,11,11
"LIBERAL (51)",21,20,20,17,18
"AUTONOMISTA (52)",52,51,51,49,51
"DE LA VICTORIA (54)",6,6,6,6,6
"PROYECTO CORRIENTES (57)",3,3,-,2,2
"PRO - PROPUESTA REPUBLICANA (64)",57,55,56,54,57
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,4,6
"NUEVO (90)",172,172,172,183,176
"POPULAR CORRENTINO (169)",180,180,180,203,176
"CRECER CON TODOS (170)",10,10,10,10,10
"UNIÓN CELESTE Y BLANCO (173)",7,7,-,7,7
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",9,9,9,10,10
"Votos en Blanco",64,82,93,48,76
"Votos Nulos",15,15,15,15,15
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
