partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",64,62,62,59,56
"JUSTICIALISTA (2)",370,372,668,404,388
"UNIÓN CÍVICA RADICAL (3)",550,518,517,526,505
"MOVIMIENTO SIEMPRE CORRIENTES (4)",41,39,38,41,36
"DEMÓCRATA CRISTIANO (5)",7,7,7,7,7
"DE LA CONCERTACIÓN - FORJA (7)",56,53,56,61,58
"FEDERAL (8)",89,89,-,88,89
"DEMÓCRATA PROGRESISTA (9)",50,48,48,47,44
"RENOVADOR FEDERAL (10)",21,21,21,29,26
"LADRILLEROS UNIDOS (11)",19,19,19,19,19
"COMUNISTA (12)",7,7,-,7,7
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",24,24,24,25,25
"ACCIÓN POR CORRIENTES (14)",6,6,5,5,5
"UNIDOS POR CORRIENTES (15)",30,29,28,29,27
"LABORISTA AUTÓNOMO (17)",17,16,16,14,14
"ELI - ENCUENTRO LIBERAL (18)",123,121,123,124,120
"CAMBIO POPULAR (19)",33,33,33,33,32
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-,0,0
"CONVOCATORIA POPULAR (21)",27,27,-,30,30
"FE (23)",4,5,6,6,4
"NUESTRA CAUSA (24)",12,12,12,13,13
"UNION POPULAR (25)",30,29,30,28,29
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,10,10,11,11
"ENCUENTRO CORRELIGIONARIO (27)",26,26,26,26,25
"CAMBIO AUSTERIDAD Y PROGRESO (28)",35,28,30,28,27
"DEL TRABAJO Y DEL PUEBLO (29)",16,17,16,17,17
"CIUDADANOS A GOBERNAR (30)",17,17,17,16,16
"CONSERVADOR POPULAR (31)",19,18,17,18,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,14,14,13,14
"NUEVO PAIS (33)",32,35,-,42,45
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,13,13,13,13
"TERCERA POSICIÓN (35)",7,7,7,8,8
"UNIÓN CORRENTINA (37)",5,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",20,20,20,19,19
"UNIÓN PARA EL DESARROLLO (42)",7,7,6,7,7
"NORTE GRANDE (43)",22,21,21,20,20
"ACCIÓN POR LA REPÚBLICA (44)",27,27,27,26,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,2,-
"VAMOS CORRIENTES (46)",58,57,55,52,55
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",20,19,18,18,18
"PARTIDO AGRARIO Y SOCIAL (49)",1,2,-,1,1
"SOCIALISTA (50)",16,15,15,15,14
"LIBERAL (51)",48,44,44,45,45
"AUTONOMISTA (52)",163,148,149,177,190
"DE LA VICTORIA (54)",18,18,18,18,17
"PROYECTO CORRIENTES (57)",70,73,-,87,84
"PRO - PROPUESTA REPUBLICANA (64)",88,83,84,83,79
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",32,31,31,33,33
"NUEVO (90)",17,18,18,16,15
"POPULAR CORRENTINO (169)",66,58,59,59,60
"CRECER CON TODOS (170)",24,22,22,23,21
"UNIÓN CELESTE Y BLANCO (173)",55,55,-,62,60
"COMPROMISO CORRENTINO (175)",16,16,-,16,16
"KOLINA (192)",30,31,32,34,34
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,21,22
"Votos en Blanco",92,181,193,54,113
"Votos Nulos",34,25,25,25,25
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
