partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",85,82,81,82,81
"JUSTICIALISTA (2)",397,410,564,437,410
"UNIÓN CÍVICA RADICAL (3)",733,696,695,774,698
"MOVIMIENTO SIEMPRE CORRIENTES (4)",78,71,70,74,73
"DEMÓCRATA CRISTIANO (5)",44,45,46,45,44
"DE LA CONCERTACIÓN - FORJA (7)",51,50,49,49,48
"FEDERAL (8)",45,47,-,45,45
"DEMÓCRATA PROGRESISTA (9)",39,35,35,-,-
"RENOVADOR FEDERAL (10)",51,50,50,53,53
"LADRILLEROS UNIDOS (11)",63,54,52,52,48
"COMUNISTA (12)",5,5,-,5,5
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",25,26,27,26,26
"ACCIÓN POR CORRIENTES (14)",72,71,71,71,71
"UNIDOS POR CORRIENTES (15)",34,33,31,28,29
"LABORISTA AUTÓNOMO (17)",16,16,16,-,-
"ELI - ENCUENTRO LIBERAL (18)",341,333,340,341,328
"CAMBIO POPULAR (19)",20,20,20,22,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",17,17,-,17,17
"CONVOCATORIA POPULAR (21)",20,20,-,20,20
"FE (23)",9,9,9,9,9
"NUESTRA CAUSA (24)",8,9,9,10,9
"UNION POPULAR (25)",81,78,78,96,94
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,15,15,15,15
"ENCUENTRO CORRELIGIONARIO (27)",11,10,10,10,10
"CAMBIO AUSTERIDAD Y PROGRESO (28)",23,22,22,22,22
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5,5,5
"CIUDADANOS A GOBERNAR (30)",34,33,33,34,33
"CONSERVADOR POPULAR (31)",26,23,23,25,26
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",70,65,68,67,74
"NUEVO PAIS (33)",3,3,-,3,3
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",57,56,52,-,-
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",14,19,13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,17,16,16,16
"UNIÓN PARA EL DESARROLLO (42)",28,28,26,26,26
"NORTE GRANDE (43)",10,10,10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",9,9,9,9,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,6,6
"VAMOS CORRIENTES (46)",26,25,25,25,25
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",56,53,53,55,52
"PARTIDO AGRARIO Y SOCIAL (49)",23,23,-,22,21
"SOCIALISTA (50)",23,22,22,23,22
"LIBERAL (51)",80,77,78,76,72
"AUTONOMISTA (52)",121,110,111,125,213
"DE LA VICTORIA (54)",4,3,3,3,3
"PROYECTO CORRIENTES (57)",4,4,-,4,4
"PRO - PROPUESTA REPUBLICANA (64)",37,36,35,36,33
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,5,5,5,5
"NUEVO (90)",28,27,27,28,34
"POPULAR CORRENTINO (169)",123,118,116,118,114
"CRECER CON TODOS (170)",62,60,60,78,76
"UNIÓN CELESTE Y BLANCO (173)",39,39,-,42,40
"COMPROMISO CORRENTINO (175)",15,15,-,15,15
"KOLINA (192)",21,21,22,23,21
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,20,19
"Votos en Blanco",98,191,226,112,163
"Votos Nulos",52,52,52,53,53
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
