partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",53,50,50,52,52
"JUSTICIALISTA (2)",248,253,440,259,251
"UNIÓN CÍVICA RADICAL (3)",409,405,401,411,400
"MOVIMIENTO SIEMPRE CORRIENTES (4)",63,63,62,62,61
"DEMÓCRATA CRISTIANO (5)",3,3,4,-,-
"DE LA CONCERTACIÓN - FORJA (7)",47,46,46,45,45
"FEDERAL (8)",33,33,-,34,34
"DEMÓCRATA PROGRESISTA (9)",17,15,15,15,13
"RENOVADOR FEDERAL (10)",62,60,61,61,61
"LADRILLEROS UNIDOS (11)",31,31,31,31,30
"COMUNISTA (12)",17,17,-,18,19
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",40,40,39,41,41
"ACCIÓN POR CORRIENTES (14)",52,51,51,50,50
"UNIDOS POR CORRIENTES (15)",14,14,14,15,14
"LABORISTA AUTÓNOMO (17)",16,16,16,18,18
"ELI - ENCUENTRO LIBERAL (18)",63,63,63,64,50
"CAMBIO POPULAR (19)",16,16,16,17,17
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",18,18,-,19,19
"CONVOCATORIA POPULAR (21)",13,13,-,13,13
"FE (23)",8,8,8,8,8
"NUESTRA CAUSA (24)",21,21,21,21,20
"UNION POPULAR (25)",132,130,127,130,124
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",31,31,30,-,31
"ENCUENTRO CORRELIGIONARIO (27)",28,28,27,27,26
"CAMBIO AUSTERIDAD Y PROGRESO (28)",43,43,43,43,52
"DEL TRABAJO Y DEL PUEBLO (29)",14,14,14,13,14
"CIUDADANOS A GOBERNAR (30)",20,19,19,22,23
"CONSERVADOR POPULAR (31)",37,37,36,36,37
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",14,14,14,15,14
"NUEVO PAIS (33)",22,22,-,43,22
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,22,21,22,32
"TERCERA POSICIÓN (35)",9,9,9,9,9
"UNIÓN CORRENTINA (37)",6,6,6,7,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",90,87,86,88,93
"UNIÓN PARA EL DESARROLLO (42)",34,34,34,34,34
"NORTE GRANDE (43)",19,19,19,22,22
"ACCIÓN POR LA REPÚBLICA (44)",23,22,22,23,22
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",24,23,23,23,24
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",20,20,20,20,20
"PARTIDO AGRARIO Y SOCIAL (49)",39,37,-,-,41
"SOCIALISTA (50)",37,36,36,38,38
"LIBERAL (51)",97,93,93,95,101
"AUTONOMISTA (52)",55,53,54,51,51
"DE LA VICTORIA (54)",32,31,31,31,31
"PROYECTO CORRIENTES (57)",12,12,-,14,12
"PRO - PROPUESTA REPUBLICANA (64)",169,166,163,174,158
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",20,20,19,19,19
"NUEVO (90)",18,18,19,19,19
"POPULAR CORRENTINO (169)",28,27,25,27,26
"CRECER CON TODOS (170)",40,39,39,40,38
"UNIÓN CELESTE Y BLANCO (173)",20,20,-,20,20
"COMPROMISO CORRENTINO (175)",12,12,-,13,13
"KOLINA (192)",18,18,18,18,18
"Votos en Blanco",77,116,125,116,100
"Votos Nulos",54,47,51,55,53
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
