partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",66,62,61,59,55
"JUSTICIALISTA (2)",109,116,246,119,113
"UNIÓN CÍVICA RADICAL (3)",714,684,670,478,474
"MOVIMIENTO SIEMPRE CORRIENTES (4)",77,74,73,66,67
"DEMÓCRATA CRISTIANO (5)",14,12,14,21,21
"DE LA CONCERTACIÓN - FORJA (7)",28,28,27,26,26
"FEDERAL (8)",23,23,-,32,32
"DEMÓCRATA PROGRESISTA (9)",26,23,23,20,20
"RENOVADOR FEDERAL (10)",21,21,21,25,24
"LADRILLEROS UNIDOS (11)",27,23,21,23,21
"COMUNISTA (12)",8,8,-,12,19
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,12,9,4,3
"ACCIÓN POR CORRIENTES (14)",23,22,21,19,20
"UNIDOS POR CORRIENTES (15)",17,15,15,18,16
"LABORISTA AUTÓNOMO (17)",15,13,13,14,13
"ELI - ENCUENTRO LIBERAL (18)",143,136,137,131,134
"CAMBIO POPULAR (19)",13,14,13,15,18
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-,17,16
"CONVOCATORIA POPULAR (21)",9,9,-,8,-
"FE (23)",11,12,12,15,-
"NUESTRA CAUSA (24)",7,7,8,9,9
"UNION POPULAR (25)",20,20,20,21,21
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,16,15,21,20
"ENCUENTRO CORRELIGIONARIO (27)",45,43,42,43,42
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,9,9,10,10
"DEL TRABAJO Y DEL PUEBLO (29)",1,2,2,1,2
"CIUDADANOS A GOBERNAR (30)",37,34,36,34,33
"CONSERVADOR POPULAR (31)",13,13,13,12,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",31,29,28,28,28
"NUEVO PAIS (33)",17,19,-,34,26
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,14,13,14,14
"TERCERA POSICIÓN (35)",3,4,2,6,-
"UNIÓN CORRENTINA (37)",22,22,22,22,22
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,19,18,20,19
"UNIÓN PARA EL DESARROLLO (42)",13,12,12,10,10
"NORTE GRANDE (43)",23,22,22,21,22
"ACCIÓN POR LA REPÚBLICA (44)",21,21,21,20,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-,18,17
"VAMOS CORRIENTES (46)",37,33,33,30,28
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",123,120,120,119,122
"PARTIDO AGRARIO Y SOCIAL (49)",8,8,-,18,14
"SOCIALISTA (50)",11,10,10,8,9
"LIBERAL (51)",99,91,96,91,94
"AUTONOMISTA (52)",56,56,66,49,49
"DE LA VICTORIA (54)",21,18,21,26,21
"PROYECTO CORRIENTES (57)",32,34,-,55,47
"PRO - PROPUESTA REPUBLICANA (64)",77,74,73,64,70
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,5,5
"NUEVO (90)",34,31,31,29,36
"POPULAR CORRENTINO (169)",115,107,103,98,100
"CRECER CON TODOS (170)",25,24,23,21,21
"UNIÓN CELESTE Y BLANCO (173)",11,13,-,15,16
"COMPROMISO CORRENTINO (175)",4,3,-,12,9
"KOLINA (192)",7,7,6,9,10
"INTEGRACIÓN CORRENTINA (36)",-,-,-,180,179
"NUEVA CORRIENTES (41)",-,-,-,7,8
"Votos en Blanco",76,170,194,135,179
"Votos Nulos",43,40,39,39,39
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
