partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",21,21,20,21,20
"JUSTICIALISTA (2)",37,37,57,-,50
"UNIÓN CÍVICA RADICAL (3)",746,724,726,752,684
"MOVIMIENTO SIEMPRE CORRIENTES (4)",15,6,6,7,6
"DEMÓCRATA CRISTIANO (5)",3,3,3,-,4
"DE LA CONCERTACIÓN - FORJA (7)",21,21,21,20,20
"FEDERAL (8)",9,9,-,-,13
"DEMÓCRATA PROGRESISTA (9)",17,16,16,16,15
"RENOVADOR FEDERAL (10)",49,51,51,-,100
"LADRILLEROS UNIDOS (11)",23,22,23,22,21
"COMUNISTA (12)",5,3,-,-,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,11,10,-,9
"ACCIÓN POR CORRIENTES (14)",6,6,6,6,6
"UNIDOS POR CORRIENTES (15)",8,8,8,6,3
"LABORISTA AUTÓNOMO (17)",8,8,8,8,8
"ELI - ENCUENTRO LIBERAL (18)",65,59,59,61,51
"CAMBIO POPULAR (19)",7,7,7,-,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,-,5
"CONVOCATORIA POPULAR (21)",2,2,-,-,3
"FE (23)",3,3,3,-,5
"NUESTRA CAUSA (24)",6,6,5,-,7
"UNION POPULAR (25)",53,53,53,53,44
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,5,5,-,11
"ENCUENTRO CORRELIGIONARIO (27)",21,21,21,21,20
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,3,-,4
"CIUDADANOS A GOBERNAR (30)",19,18,18,20,19
"CONSERVADOR POPULAR (31)",15,14,14,14,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",5,5,5,5,4
"NUEVO PAIS (33)",5,6,-,-,7
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",30,30,30,30,26
"TERCERA POSICIÓN (35)",5,5,5,-,11
"UNIÓN CORRENTINA (37)",11,11,11,11,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",25,25,25,26,24
"UNIÓN PARA EL DESARROLLO (42)",4,4,4,4,4
"NORTE GRANDE (43)",1,1,1,1,0
"ACCIÓN POR LA REPÚBLICA (44)",13,13,13,13,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,-,3
"VAMOS CORRIENTES (46)",4,3,3,3,3
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",18,18,18,18,18
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,0
"SOCIALISTA (50)",4,4,4,4,4
"LIBERAL (51)",7,7,7,7,5
"AUTONOMISTA (52)",32,32,31,30,31
"DE LA VICTORIA (54)",3,3,3,-,8
"PROYECTO CORRIENTES (57)",0,0,-,-,0
"PRO - PROPUESTA REPUBLICANA (64)",8,8,8,8,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,-,11
"NUEVO (90)",26,24,24,22,17
"POPULAR CORRENTINO (169)",19,19,19,20,18
"CRECER CON TODOS (170)",2,2,2,4,3
"UNIÓN CELESTE Y BLANCO (173)",8,8,-,-,-
"COMPROMISO CORRENTINO (175)",2,1,-,-,2
"KOLINA (192)",4,4,4,-,6
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,-,0
"Votos en Blanco",50,99,114,251,96
"Votos Nulos",10,4,4,1,4
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
