partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",66,62,62,58,57
"JUSTICIALISTA (2)",195,205,514,228,219
"UNIÓN CÍVICA RADICAL (3)",727,692,687,617,617
"MOVIMIENTO SIEMPRE CORRIENTES (4)",79,71,69,65,65
"DEMÓCRATA CRISTIANO (5)",58,51,52,63,60
"DE LA CONCERTACIÓN - FORJA (7)",56,49,48,42,42
"FEDERAL (8)",25,27,-,35,31
"DEMÓCRATA PROGRESISTA (9)",50,48,47,42,41
"RENOVADOR FEDERAL (10)",33,33,35,41,37
"LADRILLEROS UNIDOS (11)",73,67,67,63,63
"COMUNISTA (12)",21,26,-,31,38
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",23,23,23,18,18
"ACCIÓN POR CORRIENTES (14)",23,20,18,15,14
"UNIDOS POR CORRIENTES (15)",69,67,64,58,60
"LABORISTA AUTÓNOMO (17)",37,37,36,34,32
"ELI - ENCUENTRO LIBERAL (18)",125,121,120,111,114
"CAMBIO POPULAR (19)",13,12,11,16,15
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,13,-,18,18
"CONVOCATORIA POPULAR (21)",11,11,-,12,-
"FE (23)",12,12,14,17,-
"NUESTRA CAUSA (24)",7,7,8,11,10
"UNION POPULAR (25)",72,68,66,67,67
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",16,16,16,17,17
"ENCUENTRO CORRELIGIONARIO (27)",45,44,44,39,38
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,12,11,11
"DEL TRABAJO Y DEL PUEBLO (29)",14,14,15,18,17
"CIUDADANOS A GOBERNAR (30)",44,42,43,41,40
"CONSERVADOR POPULAR (31)",28,27,27,27,27
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",35,33,31,28,27
"NUEVO PAIS (33)",26,26,-,43,42
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",22,22,21,20,20
"TERCERA POSICIÓN (35)",10,10,9,9,-
"UNIÓN CORRENTINA (37)",27,24,23,24,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,15,16,15
"UNIÓN PARA EL DESARROLLO (42)",19,19,17,17,17
"NORTE GRANDE (43)",45,42,42,40,40
"ACCIÓN POR LA REPÚBLICA (44)",53,50,50,48,48
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",27,28,-,36,35
"VAMOS CORRIENTES (46)",94,91,88,80,80
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",133,128,124,122,125
"PARTIDO AGRARIO Y SOCIAL (49)",43,44,-,58,56
"SOCIALISTA (50)",44,35,35,32,31
"LIBERAL (51)",94,87,86,81,83
"AUTONOMISTA (52)",50,47,52,44,42
"DE LA VICTORIA (54)",22,23,23,27,26
"PROYECTO CORRIENTES (57)",35,38,-,61,60
"PRO - PROPUESTA REPUBLICANA (64)",43,41,42,37,36
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",18,18,19,28,24
"NUEVO (90)",84,81,79,71,77
"POPULAR CORRENTINO (169)",167,158,159,142,146
"CRECER CON TODOS (170)",47,42,41,35,36
"UNIÓN CELESTE Y BLANCO (173)",40,41,-,51,51
"COMPROMISO CORRENTINO (175)",58,58,-,73,70
"KOLINA (192)",21,20,22,24,21
"INTEGRACIÓN CORRENTINA (36)",-,-,-,31,31
"NUEVA CORRIENTES (41)",-,-,-,10,10
"Votos en Blanco",115,250,272,243,309
"Votos Nulos",85,71,71,73,72
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
