partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",57,56,56,54,53
"JUSTICIALISTA (2)",100,102,274,113,107
"UNIÓN CÍVICA RADICAL (3)",478,447,448,364,364
"MOVIMIENTO SIEMPRE CORRIENTES (4)",25,21,21,20,20
"DEMÓCRATA CRISTIANO (5)",23,23,23,28,27
"DE LA CONCERTACIÓN - FORJA (7)",24,23,20,20,19
"FEDERAL (8)",10,10,-,13,14
"DEMÓCRATA PROGRESISTA (9)",14,14,13,14,13
"RENOVADOR FEDERAL (10)",30,25,28,30,24
"LADRILLEROS UNIDOS (11)",30,29,28,26,26
"COMUNISTA (12)",18,19,-,22,34
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",21,24,24,14,14
"ACCIÓN POR CORRIENTES (14)",22,21,20,19,19
"UNIDOS POR CORRIENTES (15)",22,21,21,21,22
"LABORISTA AUTÓNOMO (17)",13,14,14,14,14
"ELI - ENCUENTRO LIBERAL (18)",101,95,96,91,92
"CAMBIO POPULAR (19)",10,10,10,13,13
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,14,-,25,20
"CONVOCATORIA POPULAR (21)",16,15,-,15,-
"FE (23)",19,19,19,26,-
"NUESTRA CAUSA (24)",5,5,6,7,8
"UNION POPULAR (25)",58,51,51,47,48
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,21,21,27,24
"ENCUENTRO CORRELIGIONARIO (27)",51,45,48,45,43
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,8,8,7,7
"DEL TRABAJO Y DEL PUEBLO (29)",8,9,9,18,16
"CIUDADANOS A GOBERNAR (30)",29,28,28,24,26
"CONSERVADOR POPULAR (31)",20,19,18,17,17
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",37,33,33,27,28
"NUEVO PAIS (33)",20,22,-,39,34
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",39,36,34,32,32
"TERCERA POSICIÓN (35)",5,4,4,7,-
"UNIÓN CORRENTINA (37)",19,18,18,16,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",28,25,25,23,23
"UNIÓN PARA EL DESARROLLO (42)",17,17,18,18,18
"NORTE GRANDE (43)",9,11,7,7,8
"ACCIÓN POR LA REPÚBLICA (44)",20,18,18,16,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",19,18,-,25,25
"VAMOS CORRIENTES (46)",71,62,60,57,52
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",282,267,265,260,266
"PARTIDO AGRARIO Y SOCIAL (49)",27,26,-,35,31
"SOCIALISTA (50)",32,28,26,25,26
"LIBERAL (51)",79,78,79,70,71
"AUTONOMISTA (52)",47,46,45,41,39
"DE LA VICTORIA (54)",60,60,61,66,64
"PROYECTO CORRIENTES (57)",27,31,-,45,42
"PRO - PROPUESTA REPUBLICANA (64)",46,45,46,43,42
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,7,7,8,7
"NUEVO (90)",74,70,69,65,67
"POPULAR CORRENTINO (169)",131,126,128,120,117
"CRECER CON TODOS (170)",34,32,31,26,26
"UNIÓN CELESTE Y BLANCO (173)",20,20,-,28,25
"COMPROMISO CORRENTINO (175)",21,20,-,27,25
"KOLINA (192)",11,11,11,12,11
"INTEGRACIÓN CORRENTINA (36)",-,-,-,63,60
"NUEVA CORRIENTES (41)",-,-,-,27,23
"Votos en Blanco",93,204,234,161,245
"Votos Nulos",53,51,51,51,49
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
