partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",100,96,94,88,88
"JUSTICIALISTA (2)",125,130,411,144,141
"UNIÓN CÍVICA RADICAL (3)",620,590,589,479,478
"MOVIMIENTO SIEMPRE CORRIENTES (4)",63,59,59,54,54
"DEMÓCRATA CRISTIANO (5)",42,42,43,52,49
"DE LA CONCERTACIÓN - FORJA (7)",38,37,35,34,34
"FEDERAL (8)",41,42,-,59,55
"DEMÓCRATA PROGRESISTA (9)",60,58,58,55,54
"RENOVADOR FEDERAL (10)",23,23,25,28,25
"LADRILLEROS UNIDOS (11)",90,89,88,84,84
"COMUNISTA (12)",28,28,-,30,44
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",15,17,17,19,18
"ACCIÓN POR CORRIENTES (14)",40,38,36,33,33
"UNIDOS POR CORRIENTES (15)",43,42,40,39,39
"LABORISTA AUTÓNOMO (17)",44,41,41,37,38
"ELI - ENCUENTRO LIBERAL (18)",121,116,117,114,113
"CAMBIO POPULAR (19)",17,18,18,29,26
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,8,8
"CONVOCATORIA POPULAR (21)",18,18,-,23,-
"FE (23)",16,16,20,22,-
"NUESTRA CAUSA (24)",11,11,12,18,22
"UNION POPULAR (25)",58,55,54,50,45
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",31,31,32,40,41
"ENCUENTRO CORRELIGIONARIO (27)",39,38,38,35,33
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,23,23,22,23
"DEL TRABAJO Y DEL PUEBLO (29)",18,18,18,27,24
"CIUDADANOS A GOBERNAR (30)",25,25,25,24,22
"CONSERVADOR POPULAR (31)",17,16,16,15,21
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",31,27,28,26,29
"NUEVO PAIS (33)",44,43,-,53,54
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",21,21,20,18,13
"TERCERA POSICIÓN (35)",7,8,7,8,-
"UNIÓN CORRENTINA (37)",23,22,21,19,19
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,9,10,8,8
"UNIÓN PARA EL DESARROLLO (42)",21,19,19,18,18
"NORTE GRANDE (43)",19,17,17,17,16
"ACCIÓN POR LA REPÚBLICA (44)",32,28,28,29,29
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",20,20,-,25,23
"VAMOS CORRIENTES (46)",46,43,45,42,42
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",162,155,156,141,144
"PARTIDO AGRARIO Y SOCIAL (49)",28,28,-,37,35
"SOCIALISTA (50)",29,28,28,26,27
"LIBERAL (51)",49,45,43,39,38
"AUTONOMISTA (52)",62,57,57,55,56
"DE LA VICTORIA (54)",22,22,20,28,25
"PROYECTO CORRIENTES (57)",41,43,-,56,51
"PRO - PROPUESTA REPUBLICANA (64)",21,20,20,21,20
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,8,8,10,10
"NUEVO (90)",85,79,79,77,73
"POPULAR CORRENTINO (169)",148,142,142,140,138
"CRECER CON TODOS (170)",33,31,32,31,31
"UNIÓN CELESTE Y BLANCO (173)",23,23,-,25,23
"COMPROMISO CORRENTINO (175)",30,30,-,37,36
"KOLINA (192)",14,14,14,17,16
"INTEGRACIÓN CORRENTINA (36)",-,-,-,80,80
"NUEVA CORRIENTES (41)",-,-,-,2,1
"Votos en Blanco",69,190,192,148,228
"Votos Nulos",75,50,50,50,50
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
