partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",12,12,12,12,12
"JUSTICIALISTA (2)",229,238,330,241,239
"UNIÓN CÍVICA RADICAL (3)",157,153,153,165,163
"MOVIMIENTO SIEMPRE CORRIENTES (4)",2,2,2,2,2
"DEMÓCRATA CRISTIANO (5)",2,2,2,2,2
"DE LA CONCERTACIÓN - FORJA (7)",8,8,8,8,8
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",9,9,9,-,-
"RENOVADOR FEDERAL (10)",13,14,14,14,14
"LADRILLEROS UNIDOS (11)",22,22,22,22,22
"COMUNISTA (12)",4,4,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,9,10,9
"ACCIÓN POR CORRIENTES (14)",5,4,4,5,4
"UNIDOS POR CORRIENTES (15)",3,3,3,3,3
"LABORISTA AUTÓNOMO (17)",5,5,5,-,-
"ELI - ENCUENTRO LIBERAL (18)",153,149,148,149,146
"CAMBIO POPULAR (19)",20,20,20,20,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",9,9,-,9,9
"FE (23)",3,3,3,3,3
"NUESTRA CAUSA (24)",8,9,9,9,9
"UNION POPULAR (25)",15,15,15,18,18
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",29,29,29,29,29
"ENCUENTRO CORRELIGIONARIO (27)",7,7,7,8,8
"CAMBIO AUSTERIDAD Y PROGRESO (28)",15,12,12,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,1,1
"CIUDADANOS A GOBERNAR (30)",13,12,12,12,12
"CONSERVADOR POPULAR (31)",17,16,16,16,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",24,24,24,24,26
"NUEVO PAIS (33)",6,6,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,13,13,-,-
"TERCERA POSICIÓN (35)",5,5,5,5,5
"UNIÓN CORRENTINA (37)",4,2,2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,10,10,10,10
"UNIÓN PARA EL DESARROLLO (42)",5,5,5,5,5
"NORTE GRANDE (43)",0,0,0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",15,15,15,15,4
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,6,-,5,5
"VAMOS CORRIENTES (46)",8,8,8,8,8
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",25,25,25,25,25
"PARTIDO AGRARIO Y SOCIAL (49)",19,20,-,20,20
"SOCIALISTA (50)",13,13,13,13,13
"LIBERAL (51)",60,60,60,59,58
"AUTONOMISTA (52)",14,14,14,17,24
"DE LA VICTORIA (54)",14,14,14,14,14
"PROYECTO CORRIENTES (57)",6,7,-,7,7
"PRO - PROPUESTA REPUBLICANA (64)",28,28,28,28,28
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,5,5
"NUEVO (90)",8,6,7,6,8
"POPULAR CORRENTINO (169)",95,92,93,92,93
"CRECER CON TODOS (170)",16,11,11,15,15
"UNIÓN CELESTE Y BLANCO (173)",40,40,-,40,40
"COMPROMISO CORRENTINO (175)",3,3,-,0,0
"KOLINA (192)",6,6,6,5,5
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,13,13
"Votos en Blanco",27,46,48,40,47
"Votos Nulos",18,12,12,12,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
