partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",7,7,7,7,7
"JUSTICIALISTA (2)",39,37,42,-,-
"UNIÓN CÍVICA RADICAL (3)",121,121,122,128,122
"MOVIMIENTO SIEMPRE CORRIENTES (4)",4,4,3,3,4
"DEMÓCRATA CRISTIANO (5)",1,1,0,-,-
"DE LA CONCERTACIÓN - FORJA (7)",11,10,10,10,10
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",3,3,3,4,4
"RENOVADOR FEDERAL (10)",0,0,0,-,-
"LADRILLEROS UNIDOS (11)",7,7,7,7,7
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",2,2,2,2,2
"UNIDOS POR CORRIENTES (15)",20,20,20,19,19
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",119,119,120,100,97
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,-,-
"CONVOCATORIA POPULAR (21)",1,1,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",0,0,0,-,-
"UNION POPULAR (25)",77,75,80,82,85
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",3,2,2,2,2
"CAMBIO AUSTERIDAD Y PROGRESO (28)",13,12,12,14,21
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,-
"CIUDADANOS A GOBERNAR (30)",4,4,4,4,4
"CONSERVADOR POPULAR (31)",2,2,2,2,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",55,51,52,51,46
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",4,4,4,4,4
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",5,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3,-,-
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,2
"NORTE GRANDE (43)",1,1,1,-,-
"ACCIÓN POR LA REPÚBLICA (44)",34,35,34,32,31
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,0,-,-,-
"VAMOS CORRIENTES (46)",8,8,8,8,7
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",21,18,16,14,14
"PARTIDO AGRARIO Y SOCIAL (49)",17,17,-,-,-
"SOCIALISTA (50)",3,3,3,3,3
"LIBERAL (51)",552,545,546,577,553
"AUTONOMISTA (52)",93,86,87,87,89
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",51,48,48,48,45
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",103,103,105,112,114
"POPULAR CORRENTINO (169)",299,289,280,328,311
"CRECER CON TODOS (170)",4,4,4,26,28
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,-,-
"COMPROMISO CORRENTINO (175)",1,0,-,-,-
"KOLINA (192)",1,0,0,-,-
"Votos en Blanco",61,107,125,79,121
"Votos Nulos",15,12,12,12,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
