partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",84,77,74,68,67
"JUSTICIALISTA (2)",156,167,506,189,179
"UNIÓN CÍVICA RADICAL (3)",787,750,754,628,638
"MOVIMIENTO SIEMPRE CORRIENTES (4)",54,49,49,48,48
"DEMÓCRATA CRISTIANO (5)",43,45,44,50,48
"DE LA CONCERTACIÓN - FORJA (7)",79,70,66,63,59
"FEDERAL (8)",53,52,-,68,68
"DEMÓCRATA PROGRESISTA (9)",54,52,49,43,49
"RENOVADOR FEDERAL (10)",56,54,59,63,56
"LADRILLEROS UNIDOS (11)",65,57,56,52,52
"COMUNISTA (12)",27,27,-,31,60
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",35,34,35,35,31
"ACCIÓN POR CORRIENTES (14)",43,40,39,35,36
"UNIDOS POR CORRIENTES (15)",58,54,50,48,45
"LABORISTA AUTÓNOMO (17)",43,40,41,37,40
"ELI - ENCUENTRO LIBERAL (18)",137,129,131,123,123
"CAMBIO POPULAR (19)",16,16,17,31,29
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",34,35,-,47,43
"CONVOCATORIA POPULAR (21)",24,25,-,28,-
"FE (23)",9,9,10,12,-
"NUESTRA CAUSA (24)",5,5,5,9,9
"UNION POPULAR (25)",63,57,56,49,49
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,13,13,19,18
"ENCUENTRO CORRELIGIONARIO (27)",80,75,73,70,70
"CAMBIO AUSTERIDAD Y PROGRESO (28)",23,21,20,20,20
"DEL TRABAJO Y DEL PUEBLO (29)",22,24,24,30,30
"CIUDADANOS A GOBERNAR (30)",51,48,47,44,45
"CONSERVADOR POPULAR (31)",31,30,30,28,31
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",54,49,48,47,46
"NUEVO PAIS (33)",45,44,-,54,49
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",30,30,29,29,28
"TERCERA POSICIÓN (35)",9,10,10,16,-
"UNIÓN CORRENTINA (37)",22,21,22,16,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",22,22,21,21,22
"UNIÓN PARA EL DESARROLLO (42)",36,34,32,29,30
"NORTE GRANDE (43)",49,47,47,44,44
"ACCIÓN POR LA REPÚBLICA (44)",44,42,41,37,39
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",31,33,-,46,44
"VAMOS CORRIENTES (46)",61,56,53,50,48
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",186,176,174,172,176
"PARTIDO AGRARIO Y SOCIAL (49)",50,50,-,70,61
"SOCIALISTA (50)",29,26,25,28,20
"LIBERAL (51)",78,73,74,71,71
"AUTONOMISTA (52)",89,89,91,82,84
"DE LA VICTORIA (54)",20,17,19,24,20
"PROYECTO CORRIENTES (57)",51,48,-,78,75
"PRO - PROPUESTA REPUBLICANA (64)",75,74,70,65,65
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,15,17,22,18
"NUEVO (90)",95,89,93,81,84
"POPULAR CORRENTINO (169)",200,192,191,178,180
"CRECER CON TODOS (170)",22,22,22,21,21
"UNIÓN CELESTE Y BLANCO (173)",24,22,-,28,28
"COMPROMISO CORRENTINO (175)",19,18,-,27,25
"KOLINA (192)",12,11,10,13,13
"INTEGRACIÓN CORRENTINA (36)",-,-,-,86,91
"NUEVA CORRIENTES (41)",-,-,-,12,11
"Votos en Blanco",87,252,280,202,264
"Votos Nulos",84,65,65,65,65
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
