partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",45,41,41,39,40
"JUSTICIALISTA (2)",275,274,391,303,281
"UNIÓN CÍVICA RADICAL (3)",359,343,343,328,333
"MOVIMIENTO SIEMPRE CORRIENTES (4)",10,10,10,10,10
"DEMÓCRATA CRISTIANO (5)",16,17,17,22,19
"DE LA CONCERTACIÓN - FORJA (7)",13,12,12,12,12
"FEDERAL (8)",4,5,-,-,-
"DEMÓCRATA PROGRESISTA (9)",14,14,14,13,13
"RENOVADOR FEDERAL (10)",41,43,49,60,45
"LADRILLEROS UNIDOS (11)",17,15,15,17,15
"COMUNISTA (12)",12,12,-,12,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,14,14,17,15
"ACCIÓN POR CORRIENTES (14)",58,58,60,62,64
"UNIDOS POR CORRIENTES (15)",12,12,12,12,12
"LABORISTA AUTÓNOMO (17)",5,5,5,5,5
"ELI - ENCUENTRO LIBERAL (18)",691,679,673,685,673
"CAMBIO POPULAR (19)",33,33,33,34,33
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,0,0
"CONVOCATORIA POPULAR (21)",16,16,-,15,16
"FE (23)",4,4,4,5,5
"NUESTRA CAUSA (24)",7,7,7,8,9
"UNION POPULAR (25)",8,8,8,7,6
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",28,28,28,31,28
"ENCUENTRO CORRELIGIONARIO (27)",18,18,18,18,18
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,17,19,12,15
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,4,3
"CIUDADANOS A GOBERNAR (30)",13,13,13,13,13
"CONSERVADOR POPULAR (31)",14,14,14,13,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",10,10,9,9,10
"NUEVO PAIS (33)",19,19,-,19,20
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8,8,8
"TERCERA POSICIÓN (35)",8,7,8,8,8
"UNIÓN CORRENTINA (37)",13,13,13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",12,12,12,12,12
"UNIÓN PARA EL DESARROLLO (42)",10,10,10,10,10
"NORTE GRANDE (43)",36,33,33,33,32
"ACCIÓN POR LA REPÚBLICA (44)",11,11,11,11,11
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",18,17,17,16,15
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",5,6,6,6,6
"PARTIDO AGRARIO Y SOCIAL (49)",33,30,-,10,8
"SOCIALISTA (50)",10,10,10,10,10
"LIBERAL (51)",131,125,127,119,130
"AUTONOMISTA (52)",31,27,31,25,25
"DE LA VICTORIA (54)",7,7,7,7,7
"PROYECTO CORRIENTES (57)",3,2,-,3,2
"PRO - PROPUESTA REPUBLICANA (64)",98,94,91,90,93
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3,4,4
"NUEVO (90)",57,55,55,47,45
"POPULAR CORRENTINO (169)",136,128,128,121,122
"CRECER CON TODOS (170)",32,32,32,29,40
"UNIÓN CELESTE Y BLANCO (173)",32,32,-,32,32
"COMPROMISO CORRENTINO (175)",5,5,-,0,0
"KOLINA (192)",17,17,18,21,19
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",65,144,143,152,182
"Votos Nulos",36,21,21,23,23
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
