partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",31,31,31,30,30
"JUSTICIALISTA (2)",503,499,671,528,523
"UNIÓN CÍVICA RADICAL (3)",1413,1399,1389,1398,1385
"MOVIMIENTO SIEMPRE CORRIENTES (4)",13,13,13,13,13
"DEMÓCRATA CRISTIANO (5)",43,43,43,43,49
"DE LA CONCERTACIÓN - FORJA (7)",6,5,5,5,6
"FEDERAL (8)",42,43,-,48,51
"DEMÓCRATA PROGRESISTA (9)",8,8,9,9,8
"RENOVADOR FEDERAL (10)",18,19,20,19,19
"LADRILLEROS UNIDOS (11)",11,9,9,8,9
"COMUNISTA (12)",22,22,-,22,22
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",20,20,20,20,19
"ACCIÓN POR CORRIENTES (14)",28,28,28,27,24
"UNIDOS POR CORRIENTES (15)",9,9,11,8,8
"LABORISTA AUTÓNOMO (17)",3,3,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",83,82,82,79,83
"CAMBIO POPULAR (19)",75,76,75,79,78
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,8,-,9,8
"CONVOCATORIA POPULAR (21)",11,11,-,13,13
"FE (23)",0,0,1,-,-
"NUESTRA CAUSA (24)",9,9,9,11,11
"UNION POPULAR (25)",18,17,18,19,20
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",8,9,8,7,8
"ENCUENTRO CORRELIGIONARIO (27)",13,13,13,13,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,5,6,4
"DEL TRABAJO Y DEL PUEBLO (29)",13,12,12,12,13
"CIUDADANOS A GOBERNAR (30)",12,11,11,11,11
"CONSERVADOR POPULAR (31)",3,3,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,1
"NUEVO PAIS (33)",5,5,-,5,5
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,11,11,11,11
"TERCERA POSICIÓN (35)",22,24,24,24,24
"UNIÓN CORRENTINA (37)",8,6,6,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,10,10,9,9
"UNIÓN PARA EL DESARROLLO (42)",11,11,11,11,10
"NORTE GRANDE (43)",3,3,3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",17,17,17,17,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-,0,-
"VAMOS CORRIENTES (46)",10,10,10,9,9
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",9,9,9,10,8
"PARTIDO AGRARIO Y SOCIAL (49)",33,29,-,48,44
"SOCIALISTA (50)",3,3,3,3,3
"LIBERAL (51)",86,87,87,81,94
"AUTONOMISTA (52)",52,48,61,46,45
"DE LA VICTORIA (54)",9,10,10,11,11
"PROYECTO CORRIENTES (57)",23,25,-,25,26
"PRO - PROPUESTA REPUBLICANA (64)",53,51,50,49,47
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",20,20,19,19,20
"NUEVO (90)",57,57,57,52,50
"POPULAR CORRENTINO (169)",108,106,107,90,88
"CRECER CON TODOS (170)",24,23,23,24,24
"UNIÓN CELESTE Y BLANCO (173)",31,30,-,32,32
"COMPROMISO CORRENTINO (175)",12,12,-,14,13
"KOLINA (192)",39,39,39,41,41
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,9,9
"Votos en Blanco",773,804,816,769,778
"Votos Nulos",19,19,16,19,19
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
