partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",70,64,63,63,55
"JUSTICIALISTA (2)",1,1,599,-,0
"UNIÓN CÍVICA RADICAL (3)",622,586,585,579,574
"MOVIMIENTO SIEMPRE CORRIENTES (4)",19,17,16,16,16
"DEMÓCRATA CRISTIANO (5)",1,1,0,-,0
"DE LA CONCERTACIÓN - FORJA (7)",51,50,50,46,45
"FEDERAL (8)",43,43,-,50,47
"DEMÓCRATA PROGRESISTA (9)",11,10,10,11,11
"RENOVADOR FEDERAL (10)",76,86,81,-,71
"LADRILLEROS UNIDOS (11)",27,11,11,12,12
"COMUNISTA (12)",2,2,-,-,2
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",2,2,2,-,0
"ACCIÓN POR CORRIENTES (14)",53,52,52,52,55
"UNIDOS POR CORRIENTES (15)",29,24,24,25,24
"LABORISTA AUTÓNOMO (17)",13,12,12,13,13
"ELI - ENCUENTRO LIBERAL (18)",62,63,63,56,63
"CAMBIO POPULAR (19)",30,30,31,35,33
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",45,48,-,57,57
"CONVOCATORIA POPULAR (21)",0,0,-,-,0
"FE (23)",5,5,5,-,-
"NUESTRA CAUSA (24)",125,130,129,-,132
"UNION POPULAR (25)",33,28,28,28,29
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13,224,12
"ENCUENTRO CORRELIGIONARIO (27)",35,31,31,34,33
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,6,5,5
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,0
"CIUDADANOS A GOBERNAR (30)",37,38,38,36,35
"CONSERVADOR POPULAR (31)",15,14,14,14,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",15,14,14,14,14
"NUEVO PAIS (33)",336,346,-,399,395
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,16,16,15,15
"TERCERA POSICIÓN (35)",0,0,0,-,0
"UNIÓN CORRENTINA (37)",10,9,9,9,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",35,34,34,34,32
"UNIÓN PARA EL DESARROLLO (42)",14,13,13,13,13
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",82,80,78,77,81
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,2,2
"VAMOS CORRIENTES (46)",22,19,19,17,17
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",9,9,9,10,10
"PARTIDO AGRARIO Y SOCIAL (49)",12,11,-,18,18
"SOCIALISTA (50)",107,99,98,102,101
"LIBERAL (51)",79,76,76,75,71
"AUTONOMISTA (52)",84,80,80,84,83
"DE LA VICTORIA (54)",1,1,1,-,0
"PROYECTO CORRIENTES (57)",91,92,-,114,117
"PRO - PROPUESTA REPUBLICANA (64)",100,98,95,91,93
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,0
"NUEVO (90)",17,16,16,16,16
"POPULAR CORRENTINO (169)",33,31,31,31,31
"CRECER CON TODOS (170)",11,11,11,9,10
"UNIÓN CELESTE Y BLANCO (173)",11,11,-,44,44
"COMPROMISO CORRENTINO (175)",31,32,-,-,-
"KOLINA (192)",0,0,0,-,0
"Votos en Blanco",102,194,198,131,149
"Votos Nulos",26,13,13,14,14
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
