partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",87,78,76,69,69
"JUSTICIALISTA (2)",105,106,395,114,136
"UNIÓN CÍVICA RADICAL (3)",541,507,500,381,376
"MOVIMIENTO SIEMPRE CORRIENTES (4)",65,59,61,57,57
"DEMÓCRATA CRISTIANO (5)",39,42,42,49,49
"DE LA CONCERTACIÓN - FORJA (7)",43,39,39,37,37
"FEDERAL (8)",50,49,-,61,58
"DEMÓCRATA PROGRESISTA (9)",28,25,25,28,29
"RENOVADOR FEDERAL (10)",45,47,47,53,47
"LADRILLEROS UNIDOS (11)",60,57,57,55,54
"COMUNISTA (12)",19,19,-,22,35
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,23,23,19,19
"ACCIÓN POR CORRIENTES (14)",43,43,42,33,33
"UNIDOS POR CORRIENTES (15)",83,74,73,68,67
"LABORISTA AUTÓNOMO (17)",50,48,48,47,46
"ELI - ENCUENTRO LIBERAL (18)",91,85,83,83,79
"CAMBIO POPULAR (19)",16,18,18,24,23
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",18,19,-,32,33
"CONVOCATORIA POPULAR (21)",16,15,-,18,-
"FE (23)",20,21,23,22,-
"NUESTRA CAUSA (24)",13,12,12,20,17
"UNION POPULAR (25)",146,134,133,122,120
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",28,29,28,35,33
"ENCUENTRO CORRELIGIONARIO (27)",59,54,50,48,47
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,18,18,14,14
"DEL TRABAJO Y DEL PUEBLO (29)",58,57,59,77,72
"CIUDADANOS A GOBERNAR (30)",35,31,31,30,28
"CONSERVADOR POPULAR (31)",36,31,31,30,29
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,32,33,29,28
"NUEVO PAIS (33)",56,58,-,70,66
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,14,13,11
"TERCERA POSICIÓN (35)",7,9,8,9,-
"UNIÓN CORRENTINA (37)",46,45,44,42,45
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",34,34,34,30,29
"UNIÓN PARA EL DESARROLLO (42)",23,22,22,21,21
"NORTE GRANDE (43)",36,35,35,31,30
"ACCIÓN POR LA REPÚBLICA (44)",28,27,26,25,25
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",31,30,-,39,37
"VAMOS CORRIENTES (46)",45,42,40,36,39
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",128,121,116,117,122
"PARTIDO AGRARIO Y SOCIAL (49)",22,20,-,40,31
"SOCIALISTA (50)",36,36,36,31,32
"LIBERAL (51)",55,51,52,43,44
"AUTONOMISTA (52)",57,56,55,48,47
"DE LA VICTORIA (54)",28,26,26,28,27
"PROYECTO CORRIENTES (57)",33,39,-,54,49
"PRO - PROPUESTA REPUBLICANA (64)",48,48,47,44,44
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,4,4
"NUEVO (90)",68,66,65,63,64
"POPULAR CORRENTINO (169)",141,135,132,132,132
"CRECER CON TODOS (170)",61,58,54,52,52
"UNIÓN CELESTE Y BLANCO (173)",26,26,-,35,34
"COMPROMISO CORRENTINO (175)",27,27,-,35,32
"KOLINA (192)",24,24,25,25,26
"INTEGRACIÓN CORRENTINA (36)",-,-,-,95,94
"NUEVA CORRIENTES (41)",-,-,-,7,6
"Votos en Blanco",119,262,305,246,313
"Votos Nulos",78,54,55,50,51
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
