partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",147,145,154
"JUSTICIALISTA (2)",83,77,171
"UNIÓN CÍVICA RADICAL (3)",305,300,299
"MOVIMIENTO SIEMPRE CORRIENTES (4)",65,64,64
"DEMÓCRATA CRISTIANO (5)",23,23,23
"DE LA CONCERTACIÓN - FORJA (7)",98,95,95
"FEDERAL (8)",22,22,-
"DEMÓCRATA PROGRESISTA (9)",79,79,79
"RENOVADOR FEDERAL (10)",17,16,17
"LADRILLEROS UNIDOS (11)",25,24,24
"COMUNISTA (12)",17,17,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,8,7
"ACCIÓN POR CORRIENTES (14)",32,32,32
"UNIDOS POR CORRIENTES (15)",54,52,52
"LABORISTA AUTÓNOMO (17)",37,37,38
"ELI - ENCUENTRO LIBERAL (18)",70,69,70
"CAMBIO POPULAR (19)",8,8,8
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",13,13,-
"FE (23)",7,7,7
"NUESTRA CAUSA (24)",5,5,5
"UNION POPULAR (25)",98,98,98
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,12,12
"ENCUENTRO CORRELIGIONARIO (27)",87,84,84
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,17,17
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7
"CIUDADANOS A GOBERNAR (30)",38,40,40
"CONSERVADOR POPULAR (31)",30,28,29
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",28,26,25
"NUEVO PAIS (33)",7,7,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,14,13
"TERCERA POSICIÓN (35)",9,9,9
"UNIÓN CORRENTINA (37)",30,30,30
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",25,25,25
"UNIÓN PARA EL DESARROLLO (42)",43,41,41
"NORTE GRANDE (43)",26,25,25
"ACCIÓN POR LA REPÚBLICA (44)",49,49,42
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",137,135,135
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",35,34,34
"PARTIDO AGRARIO Y SOCIAL (49)",21,20,-
"SOCIALISTA (50)",22,22,22
"LIBERAL (51)",80,79,79
"AUTONOMISTA (52)",68,64,64
"DE LA VICTORIA (54)",9,9,9
"PROYECTO CORRIENTES (57)",19,19,-
"PRO - PROPUESTA REPUBLICANA (64)",144,141,140
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,14,14
"NUEVO (90)",17,17,17
"POPULAR CORRENTINO (169)",104,97,96
"CRECER CON TODOS (170)",23,23,23
"UNIÓN CELESTE Y BLANCO (173)",22,22,-
"COMPROMISO CORRENTINO (175)",32,30,-
"KOLINA (192)",28,28,27
"Votos en Blanco",37,92,149
"Votos Nulos",42,38,38
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
