partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",77,73,70,66,66
"JUSTICIALISTA (2)",111,141,553,141,140
"UNIÓN CÍVICA RADICAL (3)",699,685,675,482,474
"MOVIMIENTO SIEMPRE CORRIENTES (4)",73,68,66,65,64
"DEMÓCRATA CRISTIANO (5)",38,41,44,53,46
"DE LA CONCERTACIÓN - FORJA (7)",45,44,44,43,43
"FEDERAL (8)",60,60,-,74,69
"DEMÓCRATA PROGRESISTA (9)",70,60,60,56,55
"RENOVADOR FEDERAL (10)",59,59,63,67,64
"LADRILLEROS UNIDOS (11)",109,98,96,92,91
"COMUNISTA (12)",29,30,-,30,53
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",53,43,43,21,20
"ACCIÓN POR CORRIENTES (14)",67,67,67,62,62
"UNIDOS POR CORRIENTES (15)",76,72,71,67,69
"LABORISTA AUTÓNOMO (17)",46,42,41,39,39
"ELI - ENCUENTRO LIBERAL (18)",110,104,103,97,98
"CAMBIO POPULAR (19)",51,51,48,55,58
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",27,25,-,28,28
"CONVOCATORIA POPULAR (21)",44,44,-,51,-
"FE (23)",42,39,41,45,-
"NUESTRA CAUSA (24)",32,31,31,35,32
"UNION POPULAR (25)",118,117,116,105,105
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",37,36,35,48,44
"ENCUENTRO CORRELIGIONARIO (27)",81,78,77,76,75
"CAMBIO AUSTERIDAD Y PROGRESO (28)",28,28,28,26,26
"DEL TRABAJO Y DEL PUEBLO (29)",97,93,93,107,109
"CIUDADANOS A GOBERNAR (30)",79,70,68,71,69
"CONSERVADOR POPULAR (31)",37,34,34,34,34
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",74,72,66,62,64
"NUEVO PAIS (33)",68,73,-,85,82
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",69,67,65,64,63
"TERCERA POSICIÓN (35)",14,15,15,16,-
"UNIÓN CORRENTINA (37)",46,46,44,43,43
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",48,47,46,49,46
"UNIÓN PARA EL DESARROLLO (42)",35,36,31,27,29
"NORTE GRANDE (43)",42,37,37,34,33
"ACCIÓN POR LA REPÚBLICA (44)",39,37,36,35,35
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",49,50,-,61,58
"VAMOS CORRIENTES (46)",84,72,73,68,66
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",249,240,240,239,237
"PARTIDO AGRARIO Y SOCIAL (49)",54,64,-,84,80
"SOCIALISTA (50)",60,57,56,57,55
"LIBERAL (51)",96,90,90,89,87
"AUTONOMISTA (52)",159,148,146,134,131
"DE LA VICTORIA (54)",53,53,52,54,53
"PROYECTO CORRIENTES (57)",66,65,-,94,91
"PRO - PROPUESTA REPUBLICANA (64)",43,42,42,42,42
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",57,58,58,63,61
"NUEVO (90)",79,76,73,64,68
"POPULAR CORRENTINO (169)",295,287,285,262,263
"CRECER CON TODOS (170)",54,47,47,44,44
"UNIÓN CELESTE Y BLANCO (173)",35,34,-,42,39
"COMPROMISO CORRENTINO (175)",44,45,-,57,54
"KOLINA (192)",25,26,27,30,28
"INTEGRACIÓN CORRENTINA (36)",-,-,-,154,155
"NUEVA CORRIENTES (41)",-,-,-,26,27
"Votos en Blanco",109,257,365,250,393
"Votos Nulos",111,81,90,91,91
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
