partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",55,51,51,47,46
"JUSTICIALISTA (2)",81,91,223,91,90
"UNIÓN CÍVICA RADICAL (3)",619,603,602,438,437
"MOVIMIENTO SIEMPRE CORRIENTES (4)",24,19,20,19,18
"DEMÓCRATA CRISTIANO (5)",17,17,16,19,18
"DE LA CONCERTACIÓN - FORJA (7)",13,12,12,11,11
"FEDERAL (8)",18,17,-,24,23
"DEMÓCRATA PROGRESISTA (9)",25,21,21,18,19
"RENOVADOR FEDERAL (10)",18,18,20,20,19
"LADRILLEROS UNIDOS (11)",20,18,18,18,17
"COMUNISTA (12)",11,11,-,13,18
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,16,16,17,14
"ACCIÓN POR CORRIENTES (14)",32,31,31,31,31
"UNIDOS POR CORRIENTES (15)",36,34,34,36,36
"LABORISTA AUTÓNOMO (17)",12,13,12,11,11
"ELI - ENCUENTRO LIBERAL (18)",117,116,110,110,113
"CAMBIO POPULAR (19)",9,7,8,10,13
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-,16,13
"CONVOCATORIA POPULAR (21)",1,1,-,3,-
"FE (23)",5,5,7,5,-
"NUESTRA CAUSA (24)",4,4,3,2,2
"UNION POPULAR (25)",45,41,40,38,39
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,7,7,8,8
"ENCUENTRO CORRELIGIONARIO (27)",37,35,34,32,33
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,8,8,5,5
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,12,12
"CIUDADANOS A GOBERNAR (30)",30,26,26,26,28
"CONSERVADOR POPULAR (31)",12,12,12,11,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",49,47,47,44,44
"NUEVO PAIS (33)",23,21,-,31,29
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,16,16,16,14
"TERCERA POSICIÓN (35)",3,3,3,4,-
"UNIÓN CORRENTINA (37)",16,14,14,14,15
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",30,29,27,27,26
"UNIÓN PARA EL DESARROLLO (42)",12,12,12,11,12
"NORTE GRANDE (43)",24,25,27,24,24
"ACCIÓN POR LA REPÚBLICA (44)",46,41,39,32,31
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-,15,13
"VAMOS CORRIENTES (46)",51,46,46,47,42
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",139,128,127,125,126
"PARTIDO AGRARIO Y SOCIAL (49)",9,10,-,15,13
"SOCIALISTA (50)",18,18,18,18,19
"LIBERAL (51)",73,71,73,64,64
"AUTONOMISTA (52)",85,84,87,82,77
"DE LA VICTORIA (54)",21,20,20,23,23
"PROYECTO CORRIENTES (57)",36,34,-,58,51
"PRO - PROPUESTA REPUBLICANA (64)",79,72,71,71,69
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,11,10,11,11
"NUEVO (90)",69,66,69,63,65
"POPULAR CORRENTINO (169)",100,99,100,91,91
"CRECER CON TODOS (170)",44,41,42,40,39
"UNIÓN CELESTE Y BLANCO (173)",9,7,-,18,18
"COMPROMISO CORRENTINO (175)",26,25,-,39,32
"KOLINA (192)",17,17,17,19,20
"INTEGRACIÓN CORRENTINA (36)",-,-,-,144,143
"NUEVA CORRIENTES (41)",-,-,-,5,4
"Votos en Blanco",78,171,186,147,187
"Votos Nulos",36,30,30,30,30
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
