partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",9,8,8,9,8
"JUSTICIALISTA (2)",32,31,98,37,33
"UNIÓN CÍVICA RADICAL (3)",245,236,234,181,174
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,9,9,8,9
"DEMÓCRATA CRISTIANO (5)",3,3,3,7,6
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1,1,1
"FEDERAL (8)",4,4,-,5,6
"DEMÓCRATA PROGRESISTA (9)",12,11,12,7,10
"RENOVADOR FEDERAL (10)",6,5,5,5,6
"LADRILLEROS UNIDOS (11)",5,5,5,5,5
"COMUNISTA (12)",7,7,-,7,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",4,3,3,0,0
"ACCIÓN POR CORRIENTES (14)",7,7,6,7,6
"UNIDOS POR CORRIENTES (15)",9,9,9,9,9
"LABORISTA AUTÓNOMO (17)",3,3,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",43,40,40,37,37
"CAMBIO POPULAR (19)",0,0,0,0,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,2,1
"CONVOCATORIA POPULAR (21)",0,0,-,1,-
"FE (23)",1,2,2,3,-
"NUESTRA CAUSA (24)",1,1,1,1,2
"UNION POPULAR (25)",16,16,15,14,15
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,6,8,7
"ENCUENTRO CORRELIGIONARIO (27)",17,16,16,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",5,4,5,7,7
"CIUDADANOS A GOBERNAR (30)",29,29,29,30,32
"CONSERVADOR POPULAR (31)",10,10,10,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,13,13,13,13
"NUEVO PAIS (33)",5,5,-,8,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,11,11,9,9
"TERCERA POSICIÓN (35)",2,3,2,3,-
"UNIÓN CORRENTINA (37)",7,6,6,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",12,12,10,11,11
"UNIÓN PARA EL DESARROLLO (42)",9,9,9,6,6
"NORTE GRANDE (43)",8,8,8,8,9
"ACCIÓN POR LA REPÚBLICA (44)",16,14,14,14,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,11,8
"VAMOS CORRIENTES (46)",36,34,33,33,33
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",83,79,79,76,78
"PARTIDO AGRARIO Y SOCIAL (49)",11,11,-,20,16
"SOCIALISTA (50)",14,13,13,12,12
"LIBERAL (51)",58,57,57,52,54
"AUTONOMISTA (52)",56,51,53,45,46
"DE LA VICTORIA (54)",11,10,9,14,13
"PROYECTO CORRIENTES (57)",20,21,-,38,31
"PRO - PROPUESTA REPUBLICANA (64)",75,69,69,68,70
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,5,5,5
"NUEVO (90)",28,28,27,23,24
"POPULAR CORRENTINO (169)",58,55,54,56,54
"CRECER CON TODOS (170)",28,26,24,20,22
"UNIÓN CELESTE Y BLANCO (173)",17,19,-,24,22
"COMPROMISO CORRENTINO (175)",22,21,-,28,27
"KOLINA (192)",9,10,10,12,10
"INTEGRACIÓN CORRENTINA (36)",-,-,-,48,54
"NUEVA CORRIENTES (41)",-,-,-,4,3
"Votos en Blanco",36,80,117,56,74
"Votos Nulos",9,9,9,10,9
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
