partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,7,6,5,5
"JUSTICIALISTA (2)",146,156,431,590,444
"UNIÓN CÍVICA RADICAL (3)",521,499,486,471,443
"MOVIMIENTO SIEMPRE CORRIENTES (4)",16,14,13,13,10
"DEMÓCRATA CRISTIANO (5)",59,61,63,69,58
"DE LA CONCERTACIÓN - FORJA (7)",19,15,15,14,20
"FEDERAL (8)",31,33,-,-,-
"DEMÓCRATA PROGRESISTA (9)",12,9,9,8,7
"RENOVADOR FEDERAL (10)",152,178,181,296,204
"LADRILLEROS UNIDOS (11)",12,11,11,12,11
"COMUNISTA (12)",17,17,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",37,41,45,84,47
"ACCIÓN POR CORRIENTES (14)",143,117,117,113,135
"UNIDOS POR CORRIENTES (15)",142,129,129,133,110
"LABORISTA AUTÓNOMO (17)",10,8,8,8,8
"ELI - ENCUENTRO LIBERAL (18)",48,42,43,9,9
"CAMBIO POPULAR (19)",9,9,9,10,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",10,10,10,17,10
"NUESTRA CAUSA (24)",12,13,13,15,13
"UNION POPULAR (25)",36,28,29,18,16
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3,-,-
"ENCUENTRO CORRELIGIONARIO (27)",14,14,13,12,11
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,16,16,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,11,8
"CIUDADANOS A GOBERNAR (30)",8,8,8,8,7
"CONSERVADOR POPULAR (31)",12,12,12,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,9,10,7,13
"NUEVO PAIS (33)",32,31,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",20,19,18,15,17
"TERCERA POSICIÓN (35)",5,5,5,6,6
"UNIÓN CORRENTINA (37)",8,7,6,5,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,12,12,13,11
"UNIÓN PARA EL DESARROLLO (42)",10,9,9,9,9
"NORTE GRANDE (43)",4,2,2,3,2
"ACCIÓN POR LA REPÚBLICA (44)",18,17,17,17,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",60,54,-,-,-
"VAMOS CORRIENTES (46)",143,91,91,81,78
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",6,4,4,3,4
"PARTIDO AGRARIO Y SOCIAL (49)",44,47,-,-,-
"SOCIALISTA (50)",8,8,8,6,6
"LIBERAL (51)",58,44,50,22,22
"AUTONOMISTA (52)",44,36,37,35,24
"DE LA VICTORIA (54)",1,1,1,-,-
"PROYECTO CORRIENTES (57)",22,22,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",18,14,14,13,13
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",32,34,34,46,41
"NUEVO (90)",103,53,53,45,153
"POPULAR CORRENTINO (169)",125,77,83,77,187
"CRECER CON TODOS (170)",19,17,15,14,15
"UNIÓN CELESTE Y BLANCO (173)",27,27,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",13,13,13,20,13
"Votos en Blanco",148,385,337,121,254
"Votos Nulos",13,14,14,11,15
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
