partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",6,6,6,7,6
"JUSTICIALISTA (2)",25,23,25,13,15
"UNIÓN CÍVICA RADICAL (3)",66,65,63,51,45
"MOVIMIENTO SIEMPRE CORRIENTES (4)",13,12,12,13,13
"DEMÓCRATA CRISTIANO (5)",1,1,1,1,1
"DE LA CONCERTACIÓN - FORJA (7)",6,6,1,2,1
"FEDERAL (8)",1,1,-,2,2
"DEMÓCRATA PROGRESISTA (9)",5,4,4,3,3
"RENOVADOR FEDERAL (10)",9,8,8,2,6
"LADRILLEROS UNIDOS (11)",7,6,7,6,6
"COMUNISTA (12)",3,2,-,3,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,1,0
"ACCIÓN POR CORRIENTES (14)",20,20,20,21,16
"UNIDOS POR CORRIENTES (15)",8,8,8,7,7
"LABORISTA AUTÓNOMO (17)",11,11,11,12,11
"ELI - ENCUENTRO LIBERAL (18)",170,169,171,186,170
"CAMBIO POPULAR (19)",3,3,3,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,1,1
"FE (23)",3,3,2,1,1
"NUESTRA CAUSA (24)",2,1,1,2,2
"UNION POPULAR (25)",25,24,24,25,25
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,4,2,2
"ENCUENTRO CORRELIGIONARIO (27)",3,3,3,3,3
"CAMBIO AUSTERIDAD Y PROGRESO (28)",199,196,197,243,227
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,0,0
"CIUDADANOS A GOBERNAR (30)",4,3,2,2,2
"CONSERVADOR POPULAR (31)",4,4,4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,11,12,12
"NUEVO PAIS (33)",1,1,-,1,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",63,60,61,65,62
"TERCERA POSICIÓN (35)",2,1,1,1,0
"UNIÓN CORRENTINA (37)",7,7,7,6,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",45,43,43,65,62
"UNIÓN PARA EL DESARROLLO (42)",10,10,10,10,9
"NORTE GRANDE (43)",5,5,5,6,6
"ACCIÓN POR LA REPÚBLICA (44)",8,8,9,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",30,31,31,19,37
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,6,6,3,3
"PARTIDO AGRARIO Y SOCIAL (49)",2,2,-,-,-
"SOCIALISTA (50)",12,12,12,12,12
"LIBERAL (51)",402,398,398,400,391
"AUTONOMISTA (52)",98,98,96,101,106
"DE LA VICTORIA (54)",2,2,2,2,1
"PROYECTO CORRIENTES (57)",5,5,-,2,2
"PRO - PROPUESTA REPUBLICANA (64)",22,22,21,9,10
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,6,6
"NUEVO (90)",23,25,24,27,36
"POPULAR CORRENTINO (169)",25,25,25,23,25
"CRECER CON TODOS (170)",43,45,46,50,50
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,3,4
"COMPROMISO CORRENTINO (175)",1,1,-,0,1
"KOLINA (192)",4,4,4,4,4
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",61,82,103,47,66
"Votos Nulos",23,23,23,24,26
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
