partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",60,59,60,53,74
"JUSTICIALISTA (2)",49,46,83,35,38
"UNIÓN CÍVICA RADICAL (3)",372,373,371,372,330
"MOVIMIENTO SIEMPRE CORRIENTES (4)",22,22,22,22,19
"DEMÓCRATA CRISTIANO (5)",11,10,9,10,8
"DE LA CONCERTACIÓN - FORJA (7)",31,31,31,30,32
"FEDERAL (8)",8,8,-,8,8
"DEMÓCRATA PROGRESISTA (9)",30,31,31,34,33
"RENOVADOR FEDERAL (10)",8,8,10,7,9
"LADRILLEROS UNIDOS (11)",17,16,15,15,20
"COMUNISTA (12)",6,6,-,7,7
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,9,9,7,7
"ACCIÓN POR CORRIENTES (14)",79,77,79,91,78
"UNIDOS POR CORRIENTES (15)",30,30,31,33,41
"LABORISTA AUTÓNOMO (17)",58,55,55,55,57
"ELI - ENCUENTRO LIBERAL (18)",73,72,73,80,104
"CAMBIO POPULAR (19)",8,7,7,7,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,1,1
"CONVOCATORIA POPULAR (21)",10,10,-,10,6
"FE (23)",1,1,2,3,2
"NUESTRA CAUSA (24)",4,4,4,3,3
"UNION POPULAR (25)",207,191,198,228,193
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,3,3,2,3
"ENCUENTRO CORRELIGIONARIO (27)",49,58,49,55,52
"CAMBIO AUSTERIDAD Y PROGRESO (28)",27,26,26,22,18
"DEL TRABAJO Y DEL PUEBLO (29)",6,6,7,7,7
"CIUDADANOS A GOBERNAR (30)",81,76,80,82,105
"CONSERVADOR POPULAR (31)",10,10,10,9,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",35,33,36,33,32
"NUEVO PAIS (33)",17,13,-,9,14
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",52,50,50,56,60
"TERCERA POSICIÓN (35)",3,4,4,3,3
"UNIÓN CORRENTINA (37)",44,43,45,55,58
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",43,42,43,52,48
"UNIÓN PARA EL DESARROLLO (42)",14,14,14,14,14
"NORTE GRANDE (43)",2,2,2,-,-
"ACCIÓN POR LA REPÚBLICA (44)",31,31,31,32,33
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",21,20,16,16,16
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",151,144,145,157,166
"PARTIDO AGRARIO Y SOCIAL (49)",12,12,-,3,3
"SOCIALISTA (50)",15,13,12,13,16
"LIBERAL (51)",61,61,64,59,56
"AUTONOMISTA (52)",83,81,97,105,97
"DE LA VICTORIA (54)",6,5,5,5,3
"PROYECTO CORRIENTES (57)",10,8,-,8,10
"PRO - PROPUESTA REPUBLICANA (64)",68,67,67,61,62
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,10,12,11
"NUEVO (90)",127,125,125,136,148
"POPULAR CORRENTINO (169)",59,60,58,-,-
"CRECER CON TODOS (170)",30,29,30,32,30
"UNIÓN CELESTE Y BLANCO (173)",6,5,-,6,4
"COMPROMISO CORRENTINO (175)",3,3,-,3,3
"KOLINA (192)",15,13,12,12,11
"Votos en Blanco",146,202,207,170,171
"Votos Nulos",32,31,31,32,31
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
