partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,82,81,80,76
"JUSTICIALISTA (2)",0,0,546,-,0
"UNIÓN CÍVICA RADICAL (3)",542,516,513,511,503
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,12,12,12,12
"DEMÓCRATA CRISTIANO (5)",0,0,0,-,0
"DE LA CONCERTACIÓN - FORJA (7)",54,50,50,50,49
"FEDERAL (8)",80,81,-,91,84
"DEMÓCRATA PROGRESISTA (9)",13,11,10,18,19
"RENOVADOR FEDERAL (10)",64,64,56,-,59
"LADRILLEROS UNIDOS (11)",18,10,10,10,10
"COMUNISTA (12)",0,0,-,-,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,0
"ACCIÓN POR CORRIENTES (14)",33,33,32,29,34
"UNIDOS POR CORRIENTES (15)",52,50,50,49,48
"LABORISTA AUTÓNOMO (17)",16,15,15,16,16
"ELI - ENCUENTRO LIBERAL (18)",66,63,62,63,64
"CAMBIO POPULAR (19)",24,24,25,27,26
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",28,28,-,35,34
"CONVOCATORIA POPULAR (21)",0,0,-,-,0
"FE (23)",2,2,2,-,-
"NUESTRA CAUSA (24)",110,108,109,-,123
"UNION POPULAR (25)",25,23,23,23,23
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",26,26,26,144,49
"ENCUENTRO CORRELIGIONARIO (27)",19,18,18,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,5,4,3
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,0
"CIUDADANOS A GOBERNAR (30)",29,29,29,30,28
"CONSERVADOR POPULAR (31)",16,15,15,15,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,12,10,10,10
"NUEVO PAIS (33)",242,241,-,300,284
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,23,23,22,20
"TERCERA POSICIÓN (35)",0,0,0,-,0
"UNIÓN CORRENTINA (37)",11,11,10,10,11
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",27,28,28,29,27
"UNIÓN PARA EL DESARROLLO (42)",6,6,6,6,6
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",78,72,69,65,72
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,4,-,4,5
"VAMOS CORRIENTES (46)",19,18,18,16,15
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",10,10,11,10,9
"PARTIDO AGRARIO Y SOCIAL (49)",16,23,-,26,26
"SOCIALISTA (50)",61,57,60,53,63
"LIBERAL (51)",37,36,35,35,34
"AUTONOMISTA (52)",69,66,65,63,64
"DE LA VICTORIA (54)",0,0,0,-,0
"PROYECTO CORRIENTES (57)",95,97,-,118,114
"PRO - PROPUESTA REPUBLICANA (64)",102,96,97,93,98
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,0
"NUEVO (90)",10,10,11,9,10
"POPULAR CORRENTINO (169)",31,30,30,31,30
"CRECER CON TODOS (170)",7,7,7,8,7
"UNIÓN CELESTE Y BLANCO (173)",36,36,-,38,36
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",0,0,0,-,0
"Votos en Blanco",72,160,140,139,84
"Votos Nulos",49,30,30,30,26
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
