partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",74,69,67,62,65
"JUSTICIALISTA (2)",3,3,544,-,0
"UNIÓN CÍVICA RADICAL (3)",602,580,568,572,556
"MOVIMIENTO SIEMPRE CORRIENTES (4)",41,39,39,38,39
"DEMÓCRATA CRISTIANO (5)",1,1,0,-,0
"DE LA CONCERTACIÓN - FORJA (7)",63,56,56,57,54
"FEDERAL (8)",59,60,-,79,74
"DEMÓCRATA PROGRESISTA (9)",20,18,16,16,15
"RENOVADOR FEDERAL (10)",79,82,83,-,86
"LADRILLEROS UNIDOS (11)",24,22,22,22,22
"COMUNISTA (12)",0,0,-,-,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,0
"ACCIÓN POR CORRIENTES (14)",32,31,30,29,33
"UNIDOS POR CORRIENTES (15)",56,50,50,52,52
"LABORISTA AUTÓNOMO (17)",27,26,25,24,26
"ELI - ENCUENTRO LIBERAL (18)",56,55,55,56,57
"CAMBIO POPULAR (19)",33,33,34,41,35
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",25,25,-,28,27
"CONVOCATORIA POPULAR (21)",0,0,-,-,0
"FE (23)",8,7,7,-,-
"NUESTRA CAUSA (24)",146,144,144,-,155
"UNION POPULAR (25)",35,34,34,36,33
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,20,21,262,32
"ENCUENTRO CORRELIGIONARIO (27)",30,30,30,30,31
"CAMBIO AUSTERIDAD Y PROGRESO (28)",13,13,13,13,12
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,0
"CIUDADANOS A GOBERNAR (30)",26,23,23,22,22
"CONSERVADOR POPULAR (31)",9,8,8,7,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2
"NUEVO PAIS (33)",292,300,-,336,321
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,8,8,7,6
"TERCERA POSICIÓN (35)",0,0,0,-,0
"UNIÓN CORRENTINA (37)",6,6,7,7,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",49,47,45,46,45
"UNIÓN PARA EL DESARROLLO (42)",6,6,6,6,6
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",63,61,56,60,63
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,1,1
"VAMOS CORRIENTES (46)",10,9,9,10,12
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",14,14,14,14,14
"PARTIDO AGRARIO Y SOCIAL (49)",11,13,-,13,14
"SOCIALISTA (50)",91,78,80,77,76
"LIBERAL (51)",76,68,69,66,65
"AUTONOMISTA (52)",118,113,113,112,112
"DE LA VICTORIA (54)",0,0,0,-,0
"PROYECTO CORRIENTES (57)",85,87,-,102,95
"PRO - PROPUESTA REPUBLICANA (64)",92,90,88,87,88
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,0
"NUEVO (90)",28,28,28,27,28
"POPULAR CORRENTINO (169)",34,34,34,34,32
"CRECER CON TODOS (170)",19,18,18,17,17
"UNIÓN CELESTE Y BLANCO (173)",59,59,-,69,64
"COMPROMISO CORRENTINO (175)",2,1,-,-,-
"KOLINA (192)",0,0,0,-,0
"Votos en Blanco",77,169,194,100,139
"Votos Nulos",45,28,28,28,28
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
