partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",50,45,43,39,41
"JUSTICIALISTA (2)",71,73,213,83,71
"UNIÓN CÍVICA RADICAL (3)",395,373,375,337,333
"MOVIMIENTO SIEMPRE CORRIENTES (4)",36,32,29,24,25
"DEMÓCRATA CRISTIANO (5)",28,27,27,40,42
"DE LA CONCERTACIÓN - FORJA (7)",10,10,10,9,9
"FEDERAL (8)",29,26,-,32,31
"DEMÓCRATA PROGRESISTA (9)",31,31,30,30,30
"RENOVADOR FEDERAL (10)",33,32,33,31,29
"LADRILLEROS UNIDOS (11)",24,23,23,21,20
"COMUNISTA (12)",18,19,-,20,23
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,10,10,6,6
"ACCIÓN POR CORRIENTES (14)",18,17,17,14,14
"UNIDOS POR CORRIENTES (15)",17,17,17,17,17
"LABORISTA AUTÓNOMO (17)",16,15,15,13,13
"ELI - ENCUENTRO LIBERAL (18)",68,63,65,65,63
"CAMBIO POPULAR (19)",4,4,4,7,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,13,-,18,17
"CONVOCATORIA POPULAR (21)",4,4,-,4,-
"FE (23)",6,6,6,8,-
"NUESTRA CAUSA (24)",7,8,8,10,4
"UNION POPULAR (25)",79,67,65,58,56
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,7,9,8
"ENCUENTRO CORRELIGIONARIO (27)",25,23,23,21,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",8,7,7,11,11
"CIUDADANOS A GOBERNAR (30)",34,33,31,33,32
"CONSERVADOR POPULAR (31)",16,16,16,16,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",17,17,17,16,16
"NUEVO PAIS (33)",20,20,-,30,24
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,9,9,9,9
"TERCERA POSICIÓN (35)",2,3,3,5,-
"UNIÓN CORRENTINA (37)",9,8,8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2,2,2
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,4,3
"NORTE GRANDE (43)",2,2,2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",8,6,6,5,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-,5,3
"VAMOS CORRIENTES (46)",13,12,12,13,12
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",179,170,170,165,169
"PARTIDO AGRARIO Y SOCIAL (49)",13,13,-,21,19
"SOCIALISTA (50)",10,10,10,8,8
"LIBERAL (51)",32,30,32,29,28
"AUTONOMISTA (52)",50,46,49,45,46
"DE LA VICTORIA (54)",13,12,12,16,15
"PROYECTO CORRIENTES (57)",48,50,-,70,64
"PRO - PROPUESTA REPUBLICANA (64)",27,27,27,29,30
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,8,8
"NUEVO (90)",22,22,23,22,22
"POPULAR CORRENTINO (169)",68,65,65,61,59
"CRECER CON TODOS (170)",14,14,14,14,13
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,4,8
"COMPROMISO CORRENTINO (175)",5,5,-,8,6
"KOLINA (192)",4,4,4,5,5
"INTEGRACIÓN CORRENTINA (36)",-,-,-,16,16
"NUEVA CORRIENTES (41)",-,-,-,3,4
"Votos en Blanco",57,140,154,103,160
"Votos Nulos",42,35,35,36,36
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
